potential_component,ComponentMaxAreaHa,candidate_cells,existing_patches
1,3782.260000000003,1043,159
2,2.180000000000002,1,0
3,3891.7700000000027,1039,95
4,1.590000000000001,1,5
5,1.5500000000000014,1,0
6,73.01000000000006,24,3
7,1.170000000000001,1,0
8,5.850000000000001,1,2
9,1.9200000000000017,1,0
10,2.690000000000002,2,0
11,1.030000000000001,1,0
12,30.89000000000001,6,7
13,3.0400000000000027,2,0
14,131.51000000000008,30,7
15,7.740000000000006,3,0
16,3983.3200000000024,1076,301
17,24.160000000000004,1,1
18,39.430000000000014,7,1
19,2.6500000000000012,1,1
20,1.7100000000000015,1,0
21,1.2800000000000011,1,0
22,1.3300000000000012,1,0
23,2.2700000000000014,1,1
24,3.650000000000003,3,0
25,32.78000000000003,13,0
26,5.130000000000001,1,1
27,1.8100000000000016,1,0
28,3938.7200000000025,1161,559
29,5.980000000000001,1,3
30,5.940000000000004,2,1
31,4.660000000000004,3,0
32,24.780000000000022,10,0
33,29.530000000000026,12,0
34,56.590000000000046,23,6
35,2.1800000000000015,1,1
36,36.39000000000002,12,16
37,1.3200000000000012,1,0
38,4.000000000000003,2,1
39,6.020000000000005,3,0
40,1.020000000000001,1,0
41,2.830000000000001,1,1
42,3.9000000000000017,1,2
43,4.520000000000004,3,2
44,445.52000000000027,124,97
45,4.650000000000004,3,0
46,7.070000000000001,1,2
47,1.010000000000001,1,0
48,23.450000000000017,10,5
49,1.3400000000000012,1,0
50,220.37000000000012,61,51
51,23.33000000000001,7,17
52,1.8600000000000017,1,2
53,115.49000000000008,46,15
54,292.2300000000002,90,25
55,8.300000000000008,4,0
56,8657.950000000004,2201,852
57,137.8200000000001,48,18
58,6.060000000000001,1,1
59,12.77000000000001,5,1
60,2.070000000000002,1,0
61,1.5100000000000011,1,0
62,1.9800000000000015,1,0
63,9.590000000000003,2,2
64,5.400000000000005,4,0
65,2.500000000000002,1,0
66,2.070000000000001,1,2
67,10.110000000000001,1,1
68,11.260000000000007,5,2
69,5.660000000000005,2,3
70,2.190000000000002,1,0
71,1.6900000000000013,1,3
72,2.2700000000000022,1,0
73,1.9800000000000015,1,0
74,3.6800000000000015,1,2
