subarea_id,subarea_label,PolygonAreaHa,ThirtyPercentHa,CurrentNatureAreaHa,CandidateCapacityHa,FinalNatureTargetHa,RestorationRequirementHa,RestorationToleranceHa,MaximumFinalNatureHa,CapacityMarginHa
1,subarea_1,7991.145518994141,2397.343655698242,1841.8000000000015,4292.970000000004,2397.343655698242,555.5436556982404,4,6134.770000000006,3737.4263443017635
2,subarea_2,8653.256702929688,2595.977010878906,1024.990000000001,2234.690000000002,2595.977010878906,1570.9870108789053,4,3259.680000000003,663.7029891210966
3,subarea_3,13009.830001489257,3902.949000446777,1969.4200000000017,6345.640000000006,3902.949000446777,1933.5290004467754,4,8315.060000000007,4412.110999553231
4,subarea_4,14526.539438208009,4357.961831462402,1149.440000000001,6817.640000000006,4357.961831462402,3208.521831462401,4,7967.080000000007,3609.1181685376046
