coarse_cell_id	landuse	restored_ha
38810	ForestDryPoor	3.81000000
39077	ForestDryPoor	2.62000000
39362	ForestDryPoor	1.87000000
39366	ForestDryPoor	2.02000000
39368	ForestDryPoor	3.06000000
39370	ForestDryPoor	1.92000000
39381	ForestDryPoor	1.77000000
39397	ForestDryPoor	1.92000000
39399	ForestDryPoor	3.77000000
39652	ForestDryPoor	2.65000000
39654	ForestDryPoor	2.68000000
39667	ForestDryPoor	2.73000000
39671	ForestDryPoor	2.92000000
39694	ForestDryPoor	3.06000000
39943	ForestDryPoor	3.09000000
39964	ForestDryPoor	3.06000000
39967	ForestDryPoor	1.73000000
39968	ForestDryPoor	1.15000000
39969	ForestDryPoor	3.05000000
40228	ForestDryPoor	3.09000000
40255	ForestDryPoor	1.77000000
40256	ForestDryPoor	1.81000000
40533	ForestDryPoor	1.95000000
40534	ForestDryPoor	1.06000000
40549	ForestDryPoor	1.99000000
40551	ForestDryPoor	2.64000000
40557	ForestDryPoor	1.05000000
40558	ForestDryPoor	1.20000000
40559	ForestDryPoor	1.46000000
40561	ForestDryPoor	1.21000000
40577	ForestDryPoor	1.28000000
40578	ForestDryPoor	1.33000000
40579	ForestDryPoor	2.34000000
40822	ForestDryPoor	2.01000000
40828	ForestDryPoor	1.02000000
40844	ForestDryPoor	2.78000000
40845	ForestDryPoor	3.68000000
40846	ForestDryPoor	1.87000000
40849	ForestDryPoor	1.95000000
40855	ForestDryPoor	3.08000000
40856	ForestDryPoor	2.95000000
40872	ForestDryPoor	1.58000000
40873	ForestDryPoor	2.44000000
40874	ForestDryPoor	3.72000000
41119	ForestDryPoor	2.48000000
41124	ForestDryPoor	1.52000000
41125	ForestDryPoor	2.99000000
41126	ForestDryPoor	1.52000000
41140	ForestDryPoor	2.59000000
41141	ForestDryPoor	2.19000000
41143	ForestDryPoor	1.91000000
41168	ForestDryPoor	1.45000000
41169	ForestDryPoor	3.48000000
41412	ForestDryPoor	2.95000000
41418	ForestDryPoor	1.22000000
41419	ForestDryPoor	2.76000000
41420	ForestDryPoor	1.14000000
41432	ForestDryPoor	3.00000000
41435	ForestDryPoor	1.58000000
41436	ForestDryPoor	2.14000000
41438	ForestDryPoor	2.42000000
41439	ForestDryPoor	2.73000000
41442	ForestDryPoor	1.51000000
41443	ForestDryPoor	2.12000000
41444	ForestDryPoor	2.28000000
41445	ForestDryPoor	2.47000000
41447	ForestDryPoor	3.66000000
41449	ForestDryPoor	2.08000000
41461	ForestDryPoor	1.45000000
41462	ForestDryPoor	1.80000000
41463	ForestDryPoor	2.82000000
41464	ForestDryPoor	3.82000000
41710	ForestDryPoor	1.74000000
41711	ForestDryPoor	2.65000000
41712	ForestDryPoor	2.40000000
41714	ForestDryPoor	2.37000000
41715	ForestDryPoor	1.58000000
41726	ForestDryPoor	1.73000000
41727	ForestDryPoor	2.39000000
41732	ForestDryPoor	2.02000000
41733	ForestDryPoor	1.93000000
41734	ForestDryPoor	3.05000000
41736	ForestDryPoor	3.51000000
41737	ForestDryPoor	3.06000000
41741	ForestDryPoor	1.32000000
41742	ForestDryPoor	2.86000000
41743	ForestDryPoor	2.92000000
41744	ForestDryPoor	1.85000000
41745	ForestDryPoor	2.14000000
41746	ForestDryPoor	3.25000000
41747	ForestDryPoor	2.35000000
41748	ForestDryPoor	1.00000000
41755	ForestDryPoor	3.29000000
41757	ForestDryPoor	2.16000000
41996	ForestDryPoor	2.69000000
41998	ForestDryPoor	2.37000000
41999	ForestDryPoor	2.92000000
42001	ForestDryPoor	1.75000000
42002	ForestDryPoor	1.01000000
42003	ForestDryPoor	1.56000000
42004	ForestDryPoor	2.92000000
