network_name,warm_component,CertifiedAreaHa,selected_cells,existing_patches,FlowAreaHa,RequiredAreaHa,HasExistingRoot,HasNewRestoration,PassesArea,FeasibleWarmCertificate
Global,76,11.900000000000004,2,5,11.900000000000004,5000,TRUE,TRUE,FALSE,FALSE
Global,77,16.390000000000004,3,5,16.390000000000004,5000,TRUE,TRUE,FALSE,FALSE
Global,78,3.570000000000003,1,1,3.570000000000003,5000,TRUE,TRUE,FALSE,FALSE
Global,79,2.9600000000000017,1,1,2.9600000000000017,5000,TRUE,TRUE,FALSE,FALSE
Global,80,6.430000000000002,1,3,6.430000000000002,5000,TRUE,TRUE,FALSE,FALSE
Global,81,10.56,1,2,10.56,5000,TRUE,TRUE,FALSE,FALSE
Global,82,2.4700000000000015,1,4,2.4700000000000015,5000,TRUE,TRUE,FALSE,FALSE
Global,83,10.100000000000001,1,2,10.100000000000001,5000,TRUE,TRUE,FALSE,FALSE
Global,84,8.590000000000005,2,2,8.590000000000005,5000,TRUE,TRUE,FALSE,FALSE
Global,85,20.240000000000006,2,12,20.240000000000006,5000,TRUE,TRUE,FALSE,FALSE
Global,86,11.560000000000002,1,5,11.560000000000002,5000,TRUE,TRUE,FALSE,FALSE
Global,87,32.680000000000014,10,16,32.680000000000014,5000,TRUE,TRUE,FALSE,FALSE
Global,88,10.89,1,2,10.89,5000,TRUE,TRUE,FALSE,FALSE
Global,89,9.090000000000003,2,2,9.090000000000003,5000,TRUE,TRUE,FALSE,FALSE
Global,90,103.33000000000004,22,15,103.33000000000004,5000,TRUE,TRUE,FALSE,FALSE
Global,91,1.930000000000001,1,3,1.930000000000001,5000,TRUE,TRUE,FALSE,FALSE
Global,92,96.66000000000007,27,49,96.66000000000007,5000,TRUE,TRUE,FALSE,FALSE
Global,93,4.300000000000001,1,1,4.300000000000001,5000,TRUE,TRUE,FALSE,FALSE
Global,94,104.03000000000006,28,21,104.03000000000006,5000,TRUE,TRUE,FALSE,FALSE
Global,95,230.93000000000015,61,85,230.93000000000015,5000,TRUE,TRUE,FALSE,FALSE
Global,96,2.5300000000000016,1,1,2.5300000000000016,5000,TRUE,TRUE,FALSE,FALSE
Global,97,2.4200000000000013,1,5,2.4200000000000013,5000,TRUE,TRUE,FALSE,FALSE
Global,98,4.000000000000003,2,1,4.000000000000003,5000,TRUE,TRUE,FALSE,FALSE
Global,99,4.220000000000003,2,0,4.220000000000003,5000,FALSE,TRUE,FALSE,FALSE
Global,100,5.920000000000004,2,1,5.920000000000004,5000,TRUE,TRUE,FALSE,FALSE
Global,101,4.120000000000004,1,4,4.120000000000004,5000,TRUE,TRUE,FALSE,FALSE
Global,102,10.530000000000005,2,1,10.530000000000005,5000,TRUE,TRUE,FALSE,FALSE
Global,103,28.18000000000002,9,3,28.18000000000002,5000,TRUE,TRUE,FALSE,FALSE
Global,104,250.96000000000012,56,34,250.96000000000012,5000,TRUE,TRUE,FALSE,FALSE
Global,105,5.190000000000001,1,1,5.190000000000001,5000,TRUE,TRUE,FALSE,FALSE
Global,106,483.4600000000002,112,104,483.4600000000002,5000,TRUE,TRUE,FALSE,FALSE
Global,107,16.450000000000006,4,7,16.450000000000006,5000,TRUE,TRUE,FALSE,FALSE
Global,108,4.370000000000001,1,1,4.370000000000001,5000,TRUE,TRUE,FALSE,FALSE
Global,109,2.830000000000001,1,1,2.830000000000001,5000,TRUE,TRUE,FALSE,FALSE
Global,110,4.520000000000004,3,2,4.520000000000004,5000,TRUE,TRUE,FALSE,FALSE
Global,111,204.6300000000001,48,40,204.6300000000001,5000,TRUE,TRUE,FALSE,FALSE
Global,112,7.070000000000001,1,2,7.070000000000001,5000,TRUE,TRUE,FALSE,FALSE
Global,113,1.010000000000001,1,0,1.010000000000001,5000,FALSE,TRUE,FALSE,FALSE
Global,114,21.62000000000002,9,4,21.62000000000002,5000,TRUE,TRUE,FALSE,FALSE
Global,115,81.63000000000005,23,47,81.63000000000005,5000,TRUE,TRUE,FALSE,FALSE
Global,116,217.03000000000011,60,51,217.03000000000011,5000,TRUE,TRUE,FALSE,FALSE
Global,117,21.11000000000001,6,6,21.11000000000001,5000,TRUE,TRUE,FALSE,FALSE
Global,118,1.8600000000000017,1,2,1.8600000000000017,5000,TRUE,TRUE,FALSE,FALSE
Global,119,51.51000000000004,23,7,51.51000000000004,5000,TRUE,TRUE,FALSE,FALSE
Global,120,120.27000000000005,23,13,120.27000000000005,5000,TRUE,TRUE,FALSE,FALSE
Global,121,8.300000000000008,4,0,8.300000000000008,5000,FALSE,TRUE,FALSE,FALSE
Global,122,25.21000000000002,10,6,25.21000000000002,5000,TRUE,TRUE,FALSE,FALSE
Global,123,446.4900000000002,103,87,446.4900000000002,5000,TRUE,TRUE,FALSE,FALSE
Global,124,135.93000000000012,47,18,135.93000000000012,5000,TRUE,TRUE,FALSE,FALSE
Global,125,4.120000000000002,1,1,4.120000000000002,5000,TRUE,TRUE,FALSE,FALSE
Global,126,15.490000000000009,6,6,15.490000000000009,5000,TRUE,TRUE,FALSE,FALSE
Global,127,1.5100000000000011,1,0,1.5100000000000011,5000,FALSE,TRUE,FALSE,FALSE
Global,128,414.2500000000002,97,49,414.2500000000002,5000,TRUE,TRUE,FALSE,FALSE
Global,129,7.750000000000002,1,2,7.750000000000002,5000,TRUE,TRUE,FALSE,FALSE
Global,130,5.400000000000005,4,0,5.400000000000005,5000,FALSE,TRUE,FALSE,FALSE
Global,131,5.090000000000005,2,0,5.090000000000005,5000,FALSE,TRUE,FALSE,FALSE
Global,132,94.99000000000004,23,7,94.99000000000004,5000,TRUE,TRUE,FALSE,FALSE
Global,133,94.77000000000005,29,27,94.77000000000005,5000,TRUE,TRUE,FALSE,FALSE
Global,134,934.7400000000004,180,168,934.7400000000004,5000,TRUE,TRUE,FALSE,FALSE
Global,135,8.650000000000006,3,1,8.650000000000006,5000,TRUE,TRUE,FALSE,FALSE
Global,136,2.9800000000000018,1,1,2.9800000000000018,5000,TRUE,TRUE,FALSE,FALSE
Global,137,81.98000000000005,23,19,81.98000000000005,5000,TRUE,TRUE,FALSE,FALSE
Global,138,4.580000000000004,2,1,4.580000000000004,5000,TRUE,TRUE,FALSE,FALSE
Global,139,42.38000000000001,5,3,42.38000000000001,5000,TRUE,TRUE,FALSE,FALSE
Global,140,2.070000000000001,1,2,2.070000000000001,5000,TRUE,TRUE,FALSE,FALSE
Global,141,10.110000000000001,1,1,10.110000000000001,5000,TRUE,TRUE,FALSE,FALSE
Global,142,11.260000000000007,5,2,11.260000000000007,5000,TRUE,TRUE,FALSE,FALSE
Global,143,3.3800000000000026,1,2,3.3800000000000026,5000,TRUE,TRUE,FALSE,FALSE
