i,j
9115,9116
9115,9410
9116,9411
9129,9130
9129,9424
9130,9131
9130,9425
9131,9132
9131,9426
9132,9133
9132,9427
9404,9405
9404,9699
9405,9700
9407,9408
9407,9702
9408,9409
9408,9703
9409,9410
9410,9411
9423,9424
9423,9718
9424,9425
9424,9719
9425,9426
9425,9720
9426,9427
9699,9700
9699,9994
9700,9701
9700,9995
9701,9702
9701,9996
9702,9703
9702,9997
9703,9998
9717,9718
9717,10012
9718,9719
9718,10013
9719,9720
9719,10014
9720,10015
9992,9993
9992,10287
9993,9994
9993,10288
9994,9995
9994,10289
9995,9996
9995,10290
9996,9997
9996,10291
9997,9998
9997,10292
9998,10293
10010,10011
10010,10305
10011,10012
10011,10306
10012,10013
10012,10307
10013,10014
10014,10015
10287,10288
10287,10582
10288,10289
10288,10583
10289,10290
10289,10584
10290,10291
10290,10585
10291,10292
10291,10586
10292,10293
10292,10587
10293,10588
10304,10305
10304,10599
10305,10306
10305,10600
10306,10307
10306,10601
10307,10602
10582,10583
10583,10584
10583,10878
10584,10585
10584,10879
10585,10586
10585,10880
10586,10587
10586,10881
10587,10588
10587,10882
10588,10883
10597,10598
10597,10892
10598,10599
10598,10893
10599,10600
10599,10894
10600,10601
10600,10895
10601,10602
10601,10896
10602,10897
10878,10879
10878,11173
10879,10880
10879,11174
10880,10881
10880,11175
10881,10882
10881,11176
10882,10883
10882,11177
10883,11178
10892,10893
10892,11187
10893,10894
10893,11188
10894,10895
10894,11189
10895,10896
10895,11190
10896,10897
10896,11191
11169,11170
11169,11464
11170,11465
11172,11173
11172,11467
11173,11174
11173,11468
11174,11175
11174,11469
11175,11176
11175,11470
11176,11177
11176,11471
11177,11178
11177,11472
11186,11187
11186,11481
11187,11188
11187,11482
11188,11189
11188,11483
11189,11190
11189,11484
11190,11191
11190,11485
11191,11486
11463,11464
11463,11758
11464,11465
11464,11759
11465,11466
11465,11760
11466,11467
11466,11761
11467,11468
11467,11762
11468,11469
11468,11763
11469,11470
11469,11764
11470,11471
11470,11765
11471,11472
11471,11766
11472,11767
11481,11482
11481,11776
11482,11483
11482,11777
11483,11484
11483,11778
11484,11485
11484,11779
11485,11486
11486,11487
11757,11758
11757,12052
11758,11759
11758,12053
11759,11760
11759,12054
11760,11761
11760,12055
11761,11762
11761,12056
11762,11763
11762,12057
11763,11764
11763,12058
11764,11765
11764,12059
11765,11766
11765,12060
11766,11767
11766,12061
11767,12062
11775,11776
11775,12070
11776,11777
11776,12071
11777,11778
11777,12072
11778,11779
11778,12073
12051,12052
12051,12346
12052,12053
12053,12054
12053,12348
12054,12055
12054,12349
12055,12056
12055,12350
12056,12057
12056,12351
12057,12058
12057,12352
12058,12059
12058,12353
12059,12060
12059,12354
12060,12061
12060,12355
12061,12062
12061,12356
12070,12071
12070,12365
12071,12072
12071,12366
12072,12073
12072,12367
12073,12368
12346,12641
12348,12349
12348,12643
12349,12350
12349,12644
12350,12351
12350,12645
12351,12352
12351,12646
12352,12353
12352,12647
12353,12354
12353,12648
12354,12355
12354,12649
12355,12356
12355,12650
12356,12651
12364,12365
12364,12659
12365,12366
12366,12367
12366,12661
12367,12368
12367,12662
12368,12369
12368,12663
12369,12664
12640,12641
12640,12935
12641,12642
12642,12643
12642,12937
12643,12644
12643,12938
12644,12645
12644,12939
12645,12646
12645,12940
12646,12647
12646,12941
12647,12648
12647,12942
12648,12649
12648,12943
12649,12650
12649,12944
12650,12651
12650,12945
12651,12946
12658,12659
12658,12953
12659,12954
12661,12662
12661,12956
12662,12663
12662,12957
12663,12664
12663,12958
12664,12959
12935,13230
12937,12938
12938,12939
12938,13233
12939,12940
12939,13234
12940,12941
12940,13235
12941,12942
12941,13236
12942,12943
12942,13237
12943,12944
12944,12945
