network_name,child,parent,flow_ha,child_type,parent_type,child_id,parent_id
Global,c_84449,c_84744,1.7200000000000013,c,c,84449,84744
Global,c_84450,c_84745,1.110000000000001,c,c,84450,84745
Global,c_84742,c_84743,29.25000000000002,c,c,84742,84743
Global,c_85330,p_85704,2.570000000000002,c,p,85330,85704
Global,c_85331,c_85332,2.570000000000002,c,c,85331,85332
Global,c_86516,c_86221,11.430000000000001,c,c,86516,86221
Global,p_85138,c_85332,0.01,p,c,85138,85332
Global,p_85203,c_85037,0.47,p,c,85203,85037
Global,p_85874,c_86221,0.01,p,c,85874,86221
Global,p_86265,c_86221,260.26000000000005,p,c,86265,86221
Global,c_84743,c_85038,33.880000000000024,c,c,84743,85038
Global,c_84744,c_85039,4.550000000000004,c,c,84744,85039
Global,c_84745,c_85040,2.240000000000002,c,c,84745,85040
Global,c_85037,c_85038,1.8900000000000012,c,c,85037,85038
Global,c_85332,c_85333,4.300000000000003,c,c,85332,85333
Global,c_86221,c_86222,273.96000000000004,c,c,86221,86222
Global,c_86517,c_86222,1.5900000000000014,c,c,86517,86222
Global,p_85212,c_85334,0.03,p,c,85212,85334
Global,p_85225,c_85333,0.02,p,c,85225,85333
Global,p_85463,c_85629,1.64,p,c,85463,85629
Global,p_85582,c_85629,1.87,p,c,85582,85629
Global,p_85704,c_85038,37.51,p,c,85704,85038
Global,p_85754,c_86222,0.09,p,c,85754,86222
Global,p_85845,c_86222,0.15,p,c,85845,86222
Global,p_86011,c_86222,5.25,p,c,86011,86222
Global,c_85038,p_85472,76.25000000000003,c,p,85038,85472
Global,c_85039,p_85472,8.240000000000007,c,p,85039,85472
Global,c_85040,p_85472,5.980000000000006,c,p,85040,85472
Global,c_85041,p_85472,3.570000000000003,c,p,85041,85472
Global,c_85333,p_85472,5.860000000000005,c,p,85333,85472
Global,c_85334,p_85472,2.460000000000002,c,p,85334,85472
Global,c_85337,p_85472,2.8000000000000025,c,p,85337,85472
Global,c_85629,p_85472,4.540000000000001,c,p,85629,85472
Global,c_85631,p_85472,1.9600000000000015,c,p,85631,85472
Global,c_85632,c_85633,1.5600000000000014,c,c,85632,85633
Global,c_86222,c_85927,283.64,c,c,86222,85927
Global,p_85634,c_85927,0.44,p,c,85634,85927
Global,c_85633,c_85928,3.160000000000003,c,c,85633,85928
Global,c_85927,c_85928,285.19,c,c,85927,85928
Global,p_85472,c_85928,124.60000000000007,p,c,85472,85928
Global,p_85736,c_85928,2.85,p,c,85736,85928
Global,c_85928,c_85929,417.2500000000001,c,c,85928,85929
Global,p_85565,c_85929,1.48,p,c,85565,85929
Global,p_85900,c_86225,0.12,p,c,85900,86225
Global,c_85929,c_85930,420.33000000000015,c,c,85929,85930
Global,c_86225,c_85930,1.120000000000001,c,c,86225,85930
Global,p_85864,c_85930,2.98,p,c,85864,85930
Global,c_85930,c_85931,426.5300000000002,c,c,85930,85931
Global,c_85931,p_85807,428.4000000000002,c,p,85931,85807
Global,p_85807,c_86227,431.1400000000002,p,c,85807,86227
Global,c_86227,c_86228,433.06000000000023,c,c,86227,86228
Global,p_85773,c_86228,0.01,p,c,85773,86228
Global,c_86228,c_86229,435.0700000000002,c,c,86228,86229
Global,c_86522,c_86523,2.330000000000002,c,c,86522,86523
Global,p_85860,c_86523,0.01,p,c,85860,86523
Global,c_86229,c_86524,436.5800000000002,c,c,86229,86524
Global,c_86523,c_86524,3.9900000000000033,c,c,86523,86524
Global,p_85921,c_86524,0.14,p,c,85921,86524
Global,p_85925,c_86524,0.71,p,c,85925,86524
Global,p_85929,c_86524,0.01,p,c,85929,86524
Global,c_86524,c_86819,444.2300000000002,c,c,86524,86819
Global,c_86525,c_86820,3.0900000000000025,c,c,86525,86820
