coarse_cell_id,landuse,SavedRestoredHa,ModelRestorableAreaHa,DifferenceHa,Passes
2927,ForestDryPoor,2.04,2.040000000000002,-1.7763568394002505e-15,TRUE
5285,ForestDryPoor,3.54,3.540000000000003,-3.1086244689504383e-15,TRUE
5298,ForestDryPoor,3.05,3.0500000000000025,-2.6645352591003757e-15,TRUE
5299,ForestDryPoor,2.78,2.7800000000000025,-2.6645352591003757e-15,TRUE
5580,ForestDryPoor,3.85,3.850000000000003,-3.1086244689504383e-15,TRUE
5587,ForestDryPoor,1.84,1.8400000000000016,-1.5543122344752192e-15,TRUE
5875,ForestDryPoor,3.53,3.530000000000003,-3.1086244689504383e-15,TRUE
5890,ForestDryPoor,1.46,1.4600000000000013,-1.3322676295501878e-15,TRUE
6167,ForestDryPoor,1.73,1.7300000000000015,-1.5543122344752192e-15,TRUE
6170,ForestDryPoor,3.9,3.900000000000003,-3.1086244689504383e-15,TRUE
6175,ForestDryPoor,2.85,2.8500000000000023,-2.220446049250313e-15,TRUE
6184,ForestDryPoor,2.65,2.650000000000002,-2.220446049250313e-15,TRUE
6185,ForestDryPoor,3.12,3.1200000000000028,-2.6645352591003757e-15,TRUE
6187,ForestDryPoor,2.72,2.7200000000000024,-2.220446049250313e-15,TRUE
6188,ForestDryPoor,2.77,2.7700000000000022,-2.220446049250313e-15,TRUE
6189,ForestDryPoor,1.32,1.3200000000000012,-1.1102230246251565e-15,TRUE
6465,ForestDryPoor,3.77,3.770000000000003,-3.1086244689504383e-15,TRUE
6470,ForestDryPoor,2.01,2.0100000000000016,-1.7763568394002505e-15,TRUE
6478,ForestDryPoor,2.84,2.8400000000000025,-2.6645352591003757e-15,TRUE
6483,ForestDryPoor,1.68,1.6800000000000015,-1.5543122344752192e-15,TRUE
6756,ForestDryPoor,2.98,2.980000000000002,-2.220446049250313e-15,TRUE
6760,ForestDryPoor,3.83,3.830000000000003,-3.1086244689504383e-15,TRUE
6761,ForestDryPoor,3.84,3.8400000000000034,-3.552713678800501e-15,TRUE
6762,ForestDryPoor,3.83,3.830000000000003,-3.1086244689504383e-15,TRUE
7056,ForestDryPoor,3.63,3.630000000000003,-3.1086244689504383e-15,TRUE
7057,ForestDryPoor,3.9,3.900000000000003,-3.1086244689504383e-15,TRUE
7068,ForestDryPoor,2.72,2.7200000000000024,-2.220446049250313e-15,TRUE
7346,ForestDryPoor,3.37,3.3700000000000028,-2.6645352591003757e-15,TRUE
7347,ForestDryPoor,3.18,3.180000000000003,-2.6645352591003757e-15,TRUE
7352,ForestDryPoor,3.91,3.910000000000004,-3.9968028886505635e-15,TRUE
7641,ForestDryPoor,3.27,3.270000000000003,-3.1086244689504383e-15,TRUE
7642,ForestDryPoor,3.81,3.810000000000003,-3.1086244689504383e-15,TRUE
7647,ForestDryPoor,3.56,3.560000000000003,-3.1086244689504383e-15,TRUE
7658,ForestDryPoor,3.44,3.440000000000003,-3.1086244689504383e-15,TRUE
7935,ForestDryPoor,3.72,3.7200000000000033,-3.1086244689504383e-15,TRUE
7936,ForestDryPoor,3.39,3.3900000000000032,-3.1086244689504383e-15,TRUE
7937,ForestDryPoor,3.2,3.200000000000003,-2.6645352591003757e-15,TRUE
7940,ForestDryPoor,2.6,2.6000000000000023,-2.220446049250313e-15,TRUE
7941,ForestDryPoor,2,2.0000000000000018,-1.7763568394002505e-15,TRUE
7942,ForestDryPoor,1.39,1.3900000000000012,-1.3322676295501878e-15,TRUE
8226,ForestDryPoor,3.06,3.0600000000000027,-2.6645352591003757e-15,TRUE
8230,ForestDryPoor,2.92,2.9200000000000026,-2.6645352591003757e-15,TRUE
8231,ForestDryPoor,1.99,1.9900000000000015,-1.5543122344752192e-15,TRUE
8232,ForestDryPoor,3.72,3.7200000000000033,-3.1086244689504383e-15,TRUE
8233,ForestDryPoor,3.62,3.620000000000003,-3.1086244689504383e-15,TRUE
8234,ForestDryPoor,3.66,3.6600000000000033,-3.1086244689504383e-15,TRUE
8246,ForestDryPoor,1.84,1.8400000000000016,-1.5543122344752192e-15,TRUE
8521,ForestDryPoor,1.82,1.8200000000000016,-1.5543122344752192e-15,TRUE
8525,ForestDryPoor,2.77,2.7700000000000022,-2.220446049250313e-15,TRUE
8528,ForestDryPoor,3.2,3.200000000000003,-2.6645352591003757e-15,TRUE
8822,ForestDryPoor,1.96,1.9600000000000015,-1.5543122344752192e-15,TRUE
9111,ForestDryPoor,3.33,3.3300000000000027,-2.6645352591003757e-15,TRUE
9112,ForestDryPoor,2.61,2.610000000000002,-2.220446049250313e-15,TRUE
9407,ForestDryPoor,3.07,3.070000000000003,-3.1086244689504383e-15,TRUE
9408,ForestDryPoor,2.64,2.6400000000000023,-2.220446049250313e-15,TRUE
9409,ForestDryPoor,2.63,2.6300000000000026,-2.6645352591003757e-15,TRUE
9410,ForestDryPoor,3.33,3.3300000000000027,-2.6645352591003757e-15,TRUE
9424,ForestDryPoor,3.85,3.850000000000003,-3.1086244689504383e-15,TRUE
10010,ForestDryPoor,1.94,1.9400000000000015,-1.5543122344752192e-15,TRUE
10287,ForestDryPoor,1.71,1.7100000000000015,-1.5543122344752192e-15,TRUE
10293,ForestDryPoor,3.19,3.190000000000003,-3.1086244689504383e-15,TRUE
10582,ForestDryPoor,3.67,3.670000000000003,-3.1086244689504383e-15,TRUE
10587,ForestDryPoor,4,4.0000000000000036,-3.552713678800501e-15,TRUE
10588,ForestDryPoor,3.4,3.400000000000003,-3.1086244689504383e-15,TRUE
10878,ForestDryPoor,1.36,1.3600000000000012,-1.1102230246251565e-15,TRUE
10879,ForestDryPoor,2.37,2.370000000000002,-1.7763568394002505e-15,TRUE
11170,ForestDryPoor,2.44,2.440000000000002,-2.220446049250313e-15,TRUE
11172,ForestDryPoor,2.72,2.7200000000000024,-2.220446049250313e-15,TRUE
11173,ForestDryPoor,2.56,2.5600000000000023,-2.220446049250313e-15,TRUE
11174,ForestDryPoor,1.8,1.8000000000000016,-1.5543122344752192e-15,TRUE
11178,ForestDryPoor,1.92,1.9200000000000017,-1.7763568394002505e-15,TRUE
11467,ForestDryPoor,3.86,3.860000000000003,-3.1086244689504383e-15,TRUE
11757,ForestDryPoor,1.3,1.3000000000000012,-1.1102230246251565e-15,TRUE
11758,ForestDryPoor,3.02,3.0200000000000027,-2.6645352591003757e-15,TRUE
11759,ForestDryPoor,3.03,3.030000000000003,-3.1086244689504383e-15,TRUE
11762,ForestDryPoor,3.56,3.560000000000003,-3.1086244689504383e-15,TRUE
11765,ForestDryPoor,3.96,3.960000000000003,-3.1086244689504383e-15,TRUE
11767,ForestDryPoor,3.99,3.990000000000004,-3.9968028886505635e-15,TRUE
11775,ForestDryPoor,1.07,1.070000000000001,-8.881784197001252e-16,TRUE
12051,ForestDryPoor,1.34,1.3400000000000012,-1.1102230246251565e-15,TRUE
12052,ForestDryPoor,1.09,1.090000000000001,-8.881784197001252e-16,TRUE
12053,ForestDryPoor,1.16,1.160000000000001,-1.1102230246251565e-15,TRUE
12054,ForestDryPoor,3.19,3.190000000000003,-3.1086244689504383e-15,TRUE
12057,ForestDryPoor,3.59,3.5900000000000034,-3.552713678800501e-15,TRUE
12060,ForestDryPoor,3.82,3.8200000000000034,-3.552713678800501e-15,TRUE
12062,ForestDryPoor,2.68,2.6800000000000024,-2.220446049250313e-15,TRUE
12346,ForestDryPoor,1.15,1.150000000000001,-1.1102230246251565e-15,TRUE
12348,ForestDryPoor,2.68,2.6800000000000024,-2.220446049250313e-15,TRUE
12349,ForestDryPoor,3.72,3.7200000000000033,-3.1086244689504383e-15,TRUE
12350,ForestDryPoor,3.81,3.810000000000003,-3.1086244689504383e-15,TRUE
12352,ForestDryPoor,3.81,3.810000000000003,-3.1086244689504383e-15,TRUE
12355,ForestDryPoor,3.8,3.8000000000000034,-3.552713678800501e-15,TRUE
12364,ForestDryPoor,2.85,2.8500000000000023,-2.220446049250313e-15,TRUE
12641,ForestDryPoor,1.86,1.8600000000000017,-1.5543122344752192e-15,TRUE
12642,ForestDryPoor,2.46,2.460000000000002,-2.220446049250313e-15,TRUE
12643,ForestDryPoor,2.48,2.480000000000002,-2.220446049250313e-15,TRUE
12644,ForestDryPoor,1.77,1.7700000000000016,-1.5543122344752192e-15,TRUE
12645,ForestDryPoor,2.85,2.8500000000000023,-2.220446049250313e-15,TRUE
12647,ForestDryPoor,3.07,3.070000000000003,-3.1086244689504383e-15,TRUE
12648,ForestDryPoor,3.29,3.2900000000000027,-2.6645352591003757e-15,TRUE
12650,ForestDryPoor,3.84,3.8400000000000034,-3.552713678800501e-15,TRUE
12651,ForestDryPoor,3.5,3.500000000000003,-3.1086244689504383e-15,TRUE
12937,ForestDryPoor,2.63,2.6300000000000026,-2.6645352591003757e-15,TRUE
12938,ForestDryPoor,3.43,3.4300000000000033,-3.1086244689504383e-15,TRUE
12940,ForestDryPoor,3.17,3.1700000000000026,-2.6645352591003757e-15,TRUE
12941,ForestDryPoor,2.94,2.9400000000000026,-2.6645352591003757e-15,TRUE
12942,ForestDryPoor,2.07,2.070000000000002,-2.220446049250313e-15,TRUE
12943,ForestDryPoor,1.5,1.500000000000001,-1.1102230246251565e-15,TRUE
12944,ForestDryPoor,3.95,3.950000000000004,-3.9968028886505635e-15,TRUE
12946,ForestDryPoor,2.31,2.3100000000000023,-2.220446049250313e-15,TRUE
12952,ForestDryPoor,1.18,1.180000000000001,-1.1102230246251565e-15,TRUE
12953,ForestDryPoor,3.85,3.850000000000003,-3.1086244689504383e-15,TRUE
12956,ForestDryPoor,3.13,3.1300000000000026,-2.6645352591003757e-15,TRUE
12957,ForestDryPoor,3.06,3.0600000000000027,-2.6645352591003757e-15,TRUE
13234,ForestDryPoor,2.01,2.0100000000000016,-1.7763568394002505e-15,TRUE
13236,ForestDryPoor,3.02,3.0200000000000027,-2.6645352591003757e-15,TRUE
13237,ForestDryPoor,2.99,2.990000000000003,-2.6645352591003757e-15,TRUE
13239,ForestDryPoor,3.57,3.570000000000003,-3.1086244689504383e-15,TRUE
13247,ForestDryPoor,1.12,1.120000000000001,-8.881784197001252e-16,TRUE
13527,ForestDryPoor,2.83,2.8300000000000027,-2.6645352591003757e-15,TRUE
13528,ForestDryPoor,3,3.0000000000000027,-2.6645352591003757e-15,TRUE
13529,ForestDryPoor,3.63,3.630000000000003,-3.1086244689504383e-15,TRUE
13530,ForestDryPoor,3.69,3.690000000000003,-3.1086244689504383e-15,TRUE
13531,ForestDryPoor,3.55,3.5500000000000034,-3.552713678800501e-15,TRUE
13532,ForestDryPoor,1.23,1.230000000000001,-1.1102230246251565e-15,TRUE
13543,ForestDryPoor,2.98,2.980000000000002,-2.220446049250313e-15,TRUE
13826,ForestDryPoor,2.6,2.6000000000000023,-2.220446049250313e-15,TRUE
13842,ForestDryPoor,3.39,3.3900000000000032,-3.1086244689504383e-15,TRUE
14119,ForestDryPoor,3.8,3.8000000000000034,-3.552713678800501e-15,TRUE
14120,ForestDryPoor,3.68,3.6800000000000033,-3.1086244689504383e-15,TRUE
14121,ForestDryPoor,1.94,1.9400000000000015,-1.5543122344752192e-15,TRUE
14416,ForestDryPoor,1.29,1.2900000000000011,-1.1102230246251565e-15,TRUE
15005,ForestDryPoor,3.7,3.7000000000000033,-3.1086244689504383e-15,TRUE
15018,ForestDryPoor,3.79,3.790000000000003,-3.1086244689504383e-15,TRUE
15300,ForestDryPoor,3,3.0000000000000027,-2.6645352591003757e-15,TRUE
15308,ForestDryPoor,1.74,1.7400000000000015,-1.5543122344752192e-15,TRUE
15594,ForestDryPoor,3.05,3.0500000000000025,-2.6645352591003757e-15,TRUE
15595,ForestDryPoor,2.1,2.100000000000002,-1.7763568394002505e-15,TRUE
15603,ForestDryPoor,2.79,2.7900000000000027,-2.6645352591003757e-15,TRUE
15612,ForestDryPoor,1.77,1.7700000000000016,-1.5543122344752192e-15,TRUE
15888,ForestDryPoor,2.65,2.650000000000002,-2.220446049250313e-15,TRUE
15889,ForestDryPoor,3.05,3.0500000000000025,-2.6645352591003757e-15,TRUE
15890,ForestDryPoor,2.65,2.650000000000002,-2.220446049250313e-15,TRUE
15906,ForestDryPoor,2.93,2.9300000000000024,-2.220446049250313e-15,TRUE
16183,ForestDryPoor,3.55,3.5500000000000034,-3.552713678800501e-15,TRUE
16184,ForestDryPoor,1.55,1.5500000000000014,-1.3322676295501878e-15,TRUE
16191,ForestDryPoor,3,3.0000000000000027,-2.6645352591003757e-15,TRUE
16201,ForestDryPoor,2.99,2.990000000000003,-2.6645352591003757e-15,TRUE
16476,ForestDryPoor,1.63,1.6300000000000014,-1.5543122344752192e-15,TRUE
16477,ForestDryPoor,1.64,1.6400000000000017,-1.7763568394002505e-15,TRUE
16478,ForestDryPoor,2.66,2.6600000000000024,-2.220446049250313e-15,TRUE
16479,ForestDryPoor,1.52,1.5200000000000014,-1.3322676295501878e-15,TRUE
16486,ForestDryPoor,2.92,2.9200000000000026,-2.6645352591003757e-15,TRUE
16773,ForestDryPoor,2.94,2.9400000000000026,-2.6645352591003757e-15,TRUE
16774,ForestDryPoor,1.69,1.6900000000000015,-1.5543122344752192e-15,TRUE
16781,ForestDryPoor,2.84,2.8400000000000025,-2.6645352591003757e-15,TRUE
16784,ForestDryPoor,3.76,3.7600000000000033,-3.552713678800501e-15,TRUE
16790,ForestDryPoor,1.8,1.8000000000000016,-1.5543122344752192e-15,TRUE
17065,ForestDryPoor,3.65,3.650000000000003,-3.1086244689504383e-15,TRUE
17068,ForestDryPoor,3.3,3.300000000000003,-3.1086244689504383e-15,TRUE
17069,ForestDryPoor,3.32,3.320000000000003,-3.1086244689504383e-15,TRUE
17076,ForestDryPoor,2.8,2.8000000000000025,-2.6645352591003757e-15,TRUE
17362,ForestDryPoor,3.64,3.6400000000000032,-3.1086244689504383e-15,TRUE
17363,ForestDryPoor,3.17,3.1700000000000026,-2.6645352591003757e-15,TRUE
17364,ForestDryPoor,3.5,3.500000000000003,-3.1086244689504383e-15,TRUE
17365,ForestDryPoor,1.15,1.150000000000001,-1.1102230246251565e-15,TRUE
17374,ForestDryPoor,3.73,3.730000000000003,-3.1086244689504383e-15,TRUE
17658,ForestDryPoor,3.76,3.7600000000000033,-3.552713678800501e-15,TRUE
17659,ForestDryPoor,3.78,3.7800000000000034,-3.552713678800501e-15,TRUE
17660,ForestDryPoor,3.47,3.4700000000000033,-3.1086244689504383e-15,TRUE
17661,ForestDryPoor,1.19,1.190000000000001,-1.1102230246251565e-15,TRUE
17666,ForestDryPoor,2.68,2.6800000000000024,-2.220446049250313e-15,TRUE
17955,ForestDryPoor,2.63,2.6300000000000026,-2.6645352591003757e-15,TRUE
17961,ForestDryPoor,2.6,2.6000000000000023,-2.220446049250313e-15,TRUE
18256,ForestDryPoor,2.6,2.6000000000000023,-2.220446049250313e-15,TRUE
18551,ForestDryPoor,2.44,2.440000000000002,-2.220446049250313e-15,TRUE
18552,ForestDryPoor,3.87,3.870000000000004,-3.9968028886505635e-15,TRUE
18842,ForestDryPoor,3.16,3.160000000000003,-2.6645352591003757e-15,TRUE
18846,ForestDryPoor,2.39,2.3900000000000023,-2.220446049250313e-15,TRUE
18847,ForestDryPoor,3.83,3.830000000000003,-3.1086244689504383e-15,TRUE
19137,ForestDryPoor,4,4.0000000000000036,-3.552713678800501e-15,TRUE
19141,ForestDryPoor,3.25,3.2500000000000027,-2.6645352591003757e-15,TRUE
19142,ForestDryPoor,4,4.0000000000000036,-3.552713678800501e-15,TRUE
19143,ForestDryPoor,2.84,2.8400000000000025,-2.6645352591003757e-15,TRUE
19144,ForestDryPoor,3,3.0000000000000027,-2.6645352591003757e-15,TRUE
19432,ForestDryPoor,4,4.0000000000000036,-3.552713678800501e-15,TRUE
19433,ForestDryPoor,1.89,1.8900000000000017,-1.7763568394002505e-15,TRUE
19438,ForestDryPoor,1.03,1.030000000000001,-8.881784197001252e-16,TRUE
19439,ForestDryPoor,1.46,1.4600000000000013,-1.3322676295501878e-15,TRUE
19727,ForestDryPoor,4,4.0000000000000036,-3.552713678800501e-15,TRUE
19728,ForestDryPoor,2.2,2.200000000000002,-1.7763568394002505e-15,TRUE
19732,ForestDryPoor,3.12,3.1200000000000028,-2.6645352591003757e-15,TRUE
19733,ForestDryPoor,3.76,3.7600000000000033,-3.552713678800501e-15,TRUE
20021,ForestDryPoor,3.48,3.480000000000003,-3.1086244689504383e-15,TRUE
20022,ForestDryPoor,3.85,3.850000000000003,-3.1086244689504383e-15,TRUE
20023,ForestDryPoor,1.87,1.8700000000000017,-1.5543122344752192e-15,TRUE
