network_name	minimum_ha	certified_area_ha	member_cells	member_patches	root_count	collected_total_area_ha	shortfall_ha	certificate_built
Global	5000.00000000	5001.52000000	926	808	1	5001.52000000	0.00000000	1
Subarea1	1000.00000000	1001.76419321	41	39	1	1003.82000000	0.00000000	1
Subarea2	1000.00000000	1120.55306580	271	169	1	1255.84000000	0.00000000	1
Subarea3	1000.00000000	1000.33110493	178	121	1	1017.97000000	0.00000000	1
Subarea4	1000.00000000	1005.60079766	204	95	1	1025.69000000	0.00000000	1
