subarea_id	polygon_ha	reference_30pct_target_ha	current_ha	reference_30pct_restoration_ha	restored_ha	final_nature_ha	final_nature_percent
1	7991.14551899	2397.34365570	1841.80000000	555.54365570	945.14000000	2786.94000000	34.87535039
2	8653.25670293	2595.97701088	1024.99000000	1570.98701088	1668.35000000	2693.34000000	31.12516007
3	13009.83000149	3902.94900045	1969.42000000	1933.52900045	1988.30000000	3957.72000000	30.42099704
4	14526.53943821	4357.96183146	1149.44000000	3208.52183146	2682.58000000	3832.02000000	26.37944169
