network_name,coarse_cell_id
Global,118965
Global,118966
Global,118967
Global,118968
Global,118969
Global,118970
Global,118971
Global,118972
Global,119246
Global,119247
Global,119248
Global,119249
Global,119250
Global,119251
Global,119252
Global,119253
Global,119254
Global,119256
Global,119263
Global,119264
Global,119265
Global,119266
Global,119267
Global,119541
Global,119542
Global,119543
Global,119544
Global,119545
Global,119546
Global,119547
Global,119548
Global,119550
Global,119837
Global,119838
Global,119839
Global,119840
Global,119841
Global,119842
Global,119843
Global,119844
Global,120131
Global,120132
Global,120133
Global,120134
Global,120135
Global,120136
Global,120137
Global,120138
Global,120139
Global,120428
Global,120429
Global,120430
Global,120431
Global,120432
Global,120433
Global,120434
Global,120725
Global,120726
Global,120727
Global,120728
Global,120729
Global,120959
Global,121020
Global,121021
Global,121023
Global,121024
Global,121025
Global,121254
Global,121255
Global,121315
Global,121316
Global,121317
Global,121318
Global,121319
Global,121320
Global,121550
Global,121610
Global,121611
Global,121612
Global,121613
Global,121843
Global,121904
Global,121905
Global,121906
Global,122199
Global,122200
Global,122202
Global,122427
Global,122428
Global,122429
Global,122430
Global,122431
Global,122434
Global,122436
Global,122491
Global,122492
Global,122493
Global,122494
Global,122495
Global,122496
Global,122726
Global,122727
Global,122728
Global,122729
Global,122731
Global,122732
Global,122774
Global,122775
Global,122784
Global,122785
Global,122786
Global,122787
Global,122788
Global,122789
Global,122790
Global,123021
Global,123022
Global,123023
Global,123024
Global,123025
Global,123026
Global,123030
Global,123070
Global,123077
Global,123078
Global,123079
Global,123080
Global,123081
Global,123082
Global,123083
Global,123084
Global,123315
Global,123316
Global,123317
Global,123318
Global,123319
Global,123320
Global,123325
Global,123326
Global,123327
Global,123365
Global,123369
Global,123370
Global,123371
Global,123372
Global,123373
Global,123374
Global,123375
Global,123376
Global,123377
Global,123613
Global,123614
Global,123615
Global,123618
Global,123619
Global,123620
Global,123621
Global,123622
Global,123627
Global,123628
Global,123658
Global,123660
Global,123665
Global,123666
Global,123667
Global,123668
Global,123669
Global,123670
Global,123908
Global,123909
Global,123910
Global,123911
Global,123912
Global,123913
Global,123914
Global,123915
Global,123917
Global,123921
Global,123922
Global,123923
Global,123952
Global,123953
Global,123954
Global,123955
Global,123960
Global,123961
Global,123962
Global,123963
Global,123965
Global,124205
Global,124206
Global,124207
Global,124208
Global,124209
Global,124210
Global,124211
Global,124213
Global,124214
Global,124216
Global,124217
Global,124218
Global,124220
Global,124246
Global,124247
Global,124249
Global,124250
Global,124251
Global,124255
Global,124256
Global,124258
Global,124259
Global,124504
Global,124505
Global,124506
Global,124508
Global,124509
Global,124510
Global,124511
Global,124512
Global,124513
Global,124514
Global,124515
Global,124542
Global,124543
Global,124544
Global,124545
Global,124546
Global,124547
Global,124548
Global,124550
Global,124551
Global,124552
Global,124798
Global,124799
Global,124800
Global,124801
Global,124802
Global,124804
Global,124805
Global,124806
Global,124807
Global,124808
Global,124809
Global,124810
Global,124836
Global,124837
Global,124838
Global,124839
Global,124840
Global,124841
Global,124842
Global,124843
Global,124844
Global,125094
Global,125095
Global,125096
Global,125097
Global,125098
Global,125099
Global,125100
Global,125101
Global,125102
Global,125103
Global,125104
Global,125105
Global,125106
Global,125132
Global,125133
Global,125134
Global,125135
Global,125136
Global,125137
Global,125138
Global,125139
Global,125140
Global,125389
Global,125390
Global,125391
Global,125392
Global,125393
Global,125395
Global,125396
Global,125397
Global,125398
Global,125399
Global,125400
Global,125401
Global,125426
Global,125427
Global,125428
Global,125429
Global,125430
Global,125431
Global,125432
Global,125433
Global,125434
Global,125435
Global,125684
Global,125685
Global,125686
Global,125687
Global,125688
Global,125690
Global,125691
Global,125692
Global,125693
Global,125694
Global,125695
Global,125696
Global,125719
Global,125720
Global,125721
Global,125722
Global,125723
Global,125726
Global,125729
Global,125985
Global,125986
Global,125987
Global,125988
Global,125989
Global,125990
Global,125991
Global,126014
Global,126015
Global,126016
Global,126017
Global,126018
Global,126019
Global,126021
Global,126025
Global,126280
Global,126282
Global,126283
Global,126284
Global,126285
Global,126286
Global,126308
Global,126309
Global,126310
Global,126311
Global,126312
Global,126313
Global,126314
Global,126319
Global,126576
Global,126577
Global,126578
Global,126579
Global,126580
Global,126581
Global,126598
Global,126599
Global,126600
Global,126601
Global,126602
Global,126603
Global,126604
Global,126605
Global,126606
Global,126608
Global,126609
Global,126872
Global,126873
Global,126874
Global,126875
Global,126876
Global,126877
Global,126892
Global,126893
Global,126894
Global,126895
Global,126896
Global,126897
Global,126898
Global,126899
Global,127163
Global,127164
Global,127167
Global,127168
Global,127171
Global,127172
Global,127173
Global,127174
Global,127185
Global,127186
Global,127187
Global,127188
Global,127189
Global,127190
Global,127191
Global,127192
Global,127193
Global,127194
Global,127457
Global,127458
Global,127459
Global,127460
Global,127461
Global,127462
Global,127463
Global,127464
Global,127466
Global,127467
Global,127468
Global,127469
Global,127478
Global,127479
Global,127480
Global,127481
Global,127482
Global,127483
Global,127484
Global,127485
Global,127486
Global,127487
Global,127488
Global,127754
Global,127755
Global,127756
Global,127757
Global,127758
Global,127759
Global,127763
Global,127764
Global,127774
Global,127775
Global,127776
Global,127777
Global,127778
Global,127779
Global,127780
Global,127782
Global,128049
Global,128050
Global,128051
Global,128052
Global,128053
Global,128054
Global,128055
Global,128059
Global,128069
Global,128070
Global,128071
Global,128072
Global,128073
Global,128074
Global,128075
Global,128076
Global,128077
Global,128078
Global,128092
Global,128344
Global,128345
Global,128346
Global,128348
Global,128349
Global,128350
Global,128354
Global,128363
Global,128364
Global,128365
Global,128366
Global,128367
Global,128368
Global,128369
Global,128370
Global,128371
Global,128372
Global,128373
Global,128383
Global,128386
Global,128640
Global,128641
Global,128642
Global,128643
Global,128644
Global,128645
Global,128646
Global,128647
Global,128649
Global,128655
Global,128658
Global,128659
Global,128660
Global,128661
Global,128662
Global,128663
Global,128664
Global,128665
Global,128666
Global,128667
Global,128678
Global,128681
Global,128935
Global,128936
Global,128937
Global,128938
Global,128939
Global,128940
Global,128941
Global,128942
Global,128943
