coarse_cell_id	landuse	restored_ha	biodiversity	existing_nature_contact_edges
77362	ForestDryPoor	1.83000000	424.32072854	18.00000000
77363	ForestDryPoor	3.15000000	700.43210209	10.00000000
77366	ForestDryPoor	2.16000000	335.15095443	14.00000000
77646	ForestDryPoor	1.53000000	503.24826593	22.00000000
77647	ForestDryPoor	2.08000000	648.43541834	2.00000000
77648	ForestDryPoor	1.66000000	406.23381254	3.00000000
77649	ForestDryPoor	2.82000000	333.41436278	0.00000000
77650	ForestDryPoor	4.00000000	391.25580559	0.00000000
77651	ForestDryPoor	3.85000000	431.69091582	11.00000000
77652	ForestDryPoor	2.43000000	393.26501703	17.00000000
77653	ForestDryPoor	1.38000000	218.61356736	6.00000000
77655	ForestDryPoor	2.29000000	283.33090033	13.00000000
77657	ForestDryPoor	1.19000000	145.83890331	72.00000000
77658	ForestDryPoor	1.39000000	159.72234418	27.00000000
77662	ForestDryPoor	2.40000000	121.97259380	23.00000000
77939	ForestDryPoor	1.41000000	408.34188868	0.00000000
77940	ForestDryPoor	1.14000000	343.44665128	8.00000000
77942	ForestDryPoor	1.47000000	444.70645723	0.00000000
77943	ForestDryPoor	3.88000000	719.16364298	0.00000000
77944	ForestDryPoor	3.51000000	291.68802837	3.00000000
77945	ForestDryPoor	3.17000000	201.82650804	7.00000000
77946	ForestDryPoor	2.64000000	160.94314422	5.00000000
77950	ForestDryPoor	2.22000000	185.90881262	12.00000000
77951	ForestDryPoor	2.81000000	279.31159944	64.00000000
77952	ForestDryPoor	1.13000000	113.67808599	19.00000000
77955	ForestDryPoor	1.02000000	97.98005487	16.00000000
77957	ForestDryPoor	3.63000000	266.28957665	19.00000000
77959	ForestDryPoor	1.82000000	160.97220799	18.00000000
78247	ForestDryPoor	2.47000000	205.05092853	36.00000000
78251	ForestDryPoor	2.32000000	239.50653236	43.00000000
78542	ForestDryPoor	2.20000000	134.65322888	21.00000000
78543	ForestDryPoor	1.52000000	75.93028077	17.00000000
78547	ForestDryPoor	1.69000000	262.47216716	39.00000000
78821	ForestDryPoor	1.37000000	172.12173613	0.00000000
79116	ForestDryPoor	2.11000000	267.97043187	0.00000000
79117	ForestDryPoor	3.26000000	416.69899500	0.00000000
79118	ForestDryPoor	1.23000000	158.89433702	6.00000000
79405	ForestDryPoor	2.58000000	395.52676554	23.00000000
79407	ForestDryPoor	1.07000000	178.15308013	13.00000000
79411	ForestDryPoor	1.79000000	273.71940680	0.00000000
79412	ForestDryPoor	2.27000000	374.00209948	0.00000000
79413	ForestDryPoor	2.92000000	412.96249139	6.00000000
79414	ForestDryPoor	2.94000000	364.85806604	2.00000000
79700	ForestDryPoor	1.64000000	275.48716518	9.00000000
79701	ForestDryPoor	1.81000000	330.36253065	0.00000000
79702	ForestDryPoor	2.50000000	482.22036501	19.00000000
79707	ForestDryPoor	2.75000000	590.24890916	0.00000000
79708	ForestDryPoor	2.91000000	542.96089047	0.00000000
