coarse_cell_id,landuse,RestorableAreaHa
2927,ForestDryPoor,2.040000000000002
5285,ForestDryPoor,3.540000000000003
5298,ForestDryPoor,3.0500000000000025
5299,ForestDryPoor,2.7800000000000025
5580,ForestDryPoor,3.850000000000003
5587,ForestDryPoor,1.8400000000000016
5875,ForestDryPoor,3.530000000000003
5890,ForestDryPoor,1.4600000000000013
6167,ForestDryPoor,1.7300000000000015
6170,ForestDryPoor,3.900000000000003
6175,ForestDryPoor,2.8500000000000023
6184,ForestDryPoor,2.650000000000002
6185,ForestDryPoor,3.1200000000000028
6187,ForestDryPoor,2.7200000000000024
6188,ForestDryPoor,2.7700000000000022
6189,ForestDryPoor,1.3200000000000012
6465,ForestDryPoor,3.770000000000003
6470,ForestDryPoor,2.0100000000000016
6478,ForestDryPoor,2.8400000000000025
6483,ForestDryPoor,1.6800000000000015
6756,ForestDryPoor,2.980000000000002
6760,ForestDryPoor,3.830000000000003
6761,ForestDryPoor,3.8400000000000034
6762,ForestDryPoor,3.830000000000003
7056,ForestDryPoor,3.630000000000003
7057,ForestDryPoor,3.900000000000003
7068,ForestDryPoor,2.7200000000000024
7346,ForestDryPoor,3.3700000000000028
7347,ForestDryPoor,3.180000000000003
7352,ForestDryPoor,3.910000000000004
7641,ForestDryPoor,3.270000000000003
7642,ForestDryPoor,3.810000000000003
7647,ForestDryPoor,3.560000000000003
7658,ForestDryPoor,3.440000000000003
7935,ForestDryPoor,3.7200000000000033
7936,ForestDryPoor,3.3900000000000032
7937,ForestDryPoor,3.200000000000003
7940,ForestDryPoor,2.6000000000000023
7941,ForestDryPoor,2.0000000000000018
7942,ForestDryPoor,1.3900000000000012
8226,ForestDryPoor,3.0600000000000027
8230,ForestDryPoor,2.9200000000000026
8231,ForestDryPoor,1.9900000000000015
8232,ForestDryPoor,3.7200000000000033
8233,ForestDryPoor,3.620000000000003
8234,ForestDryPoor,3.6600000000000033
8246,ForestDryPoor,1.8400000000000016
8521,ForestDryPoor,1.8200000000000016
8525,ForestDryPoor,2.7700000000000022
8528,ForestDryPoor,3.200000000000003
8822,ForestDryPoor,1.9600000000000015
9111,ForestDryPoor,3.3300000000000027
9112,ForestDryPoor,2.610000000000002
9407,ForestDryPoor,3.070000000000003
9408,ForestDryPoor,2.6400000000000023
9409,ForestDryPoor,2.6300000000000026
9410,ForestDryPoor,3.3300000000000027
9424,ForestDryPoor,3.850000000000003
10010,ForestDryPoor,1.9400000000000015
10287,ForestDryPoor,1.7100000000000015
10293,ForestDryPoor,3.190000000000003
10582,ForestDryPoor,3.670000000000003
10587,ForestDryPoor,4.0000000000000036
10588,ForestDryPoor,3.400000000000003
10878,ForestDryPoor,1.3600000000000012
10879,ForestDryPoor,2.370000000000002
11170,ForestDryPoor,2.440000000000002
11172,ForestDryPoor,2.7200000000000024
11173,ForestDryPoor,2.5600000000000023
11174,ForestDryPoor,1.8000000000000016
11178,ForestDryPoor,1.9200000000000017
11467,ForestDryPoor,3.860000000000003
11757,ForestDryPoor,1.3000000000000012
11758,ForestDryPoor,3.0200000000000027
11759,ForestDryPoor,3.030000000000003
11762,ForestDryPoor,3.560000000000003
11765,ForestDryPoor,3.960000000000003
11767,ForestDryPoor,3.990000000000004
11775,ForestDryPoor,1.070000000000001
12051,ForestDryPoor,1.3400000000000012
12052,ForestDryPoor,1.090000000000001
12053,ForestDryPoor,1.160000000000001
12054,ForestDryPoor,3.190000000000003
12057,ForestDryPoor,3.5900000000000034
12060,ForestDryPoor,3.8200000000000034
12062,ForestDryPoor,2.6800000000000024
12346,ForestDryPoor,1.150000000000001
12348,ForestDryPoor,2.6800000000000024
12349,ForestDryPoor,3.7200000000000033
12350,ForestDryPoor,3.810000000000003
12352,ForestDryPoor,3.810000000000003
12355,ForestDryPoor,3.8000000000000034
12364,ForestDryPoor,2.8500000000000023
12641,ForestDryPoor,1.8600000000000017
12642,ForestDryPoor,2.460000000000002
12643,ForestDryPoor,2.480000000000002
12644,ForestDryPoor,1.7700000000000016
12645,ForestDryPoor,2.8500000000000023
12647,ForestDryPoor,3.070000000000003
12648,ForestDryPoor,3.2900000000000027
12650,ForestDryPoor,3.8400000000000034
12651,ForestDryPoor,3.500000000000003
12937,ForestDryPoor,2.6300000000000026
12938,ForestDryPoor,3.4300000000000033
12940,ForestDryPoor,3.1700000000000026
12941,ForestDryPoor,2.9400000000000026
12942,ForestDryPoor,2.070000000000002
12943,ForestDryPoor,1.500000000000001
12944,ForestDryPoor,3.950000000000004
12946,ForestDryPoor,2.3100000000000023
12952,ForestDryPoor,1.180000000000001
12953,ForestDryPoor,3.850000000000003
12956,ForestDryPoor,3.1300000000000026
12957,ForestDryPoor,3.0600000000000027
13234,ForestDryPoor,2.0100000000000016
13236,ForestDryPoor,3.0200000000000027
13237,ForestDryPoor,2.990000000000003
13239,ForestDryPoor,3.570000000000003
13247,ForestDryPoor,1.120000000000001
13527,ForestDryPoor,2.8300000000000027
13528,ForestDryPoor,3.0000000000000027
13529,ForestDryPoor,3.630000000000003
13530,ForestDryPoor,3.690000000000003
13531,ForestDryPoor,3.5500000000000034
13532,ForestDryPoor,1.230000000000001
13543,ForestDryPoor,2.980000000000002
13826,ForestDryPoor,2.6000000000000023
13842,ForestDryPoor,3.3900000000000032
14119,ForestDryPoor,3.8000000000000034
14120,ForestDryPoor,3.6800000000000033
14121,ForestDryPoor,1.9400000000000015
14416,ForestDryPoor,1.2900000000000011
15005,ForestDryPoor,3.7000000000000033
15018,ForestDryPoor,3.790000000000003
15300,ForestDryPoor,3.0000000000000027
15308,ForestDryPoor,1.7400000000000015
15594,ForestDryPoor,3.0500000000000025
15595,ForestDryPoor,2.100000000000002
15603,ForestDryPoor,2.7900000000000027
15612,ForestDryPoor,1.7700000000000016
15888,ForestDryPoor,2.650000000000002
15889,ForestDryPoor,3.0500000000000025
15890,ForestDryPoor,2.650000000000002
15906,ForestDryPoor,2.9300000000000024
16183,ForestDryPoor,3.5500000000000034
16184,ForestDryPoor,1.5500000000000014
16191,ForestDryPoor,3.0000000000000027
16201,ForestDryPoor,2.990000000000003
16476,ForestDryPoor,1.6300000000000014
16477,ForestDryPoor,1.6400000000000017
16478,ForestDryPoor,2.6600000000000024
16479,ForestDryPoor,1.5200000000000014
16486,ForestDryPoor,2.9200000000000026
16773,ForestDryPoor,2.9400000000000026
16774,ForestDryPoor,1.6900000000000015
16781,ForestDryPoor,2.8400000000000025
16784,ForestDryPoor,3.7600000000000033
16790,ForestDryPoor,1.8000000000000016
17065,ForestDryPoor,3.650000000000003
17068,ForestDryPoor,3.300000000000003
17069,ForestDryPoor,3.320000000000003
17076,ForestDryPoor,2.8000000000000025
17362,ForestDryPoor,3.6400000000000032
17363,ForestDryPoor,3.1700000000000026
17364,ForestDryPoor,3.500000000000003
17365,ForestDryPoor,1.150000000000001
17374,ForestDryPoor,3.730000000000003
17658,ForestDryPoor,3.7600000000000033
17659,ForestDryPoor,3.7800000000000034
17660,ForestDryPoor,3.4700000000000033
17661,ForestDryPoor,1.190000000000001
17666,ForestDryPoor,2.6800000000000024
17955,ForestDryPoor,2.6300000000000026
18256,ForestDryPoor,2.6000000000000023
18551,ForestDryPoor,2.440000000000002
18552,ForestDryPoor,3.870000000000004
18842,ForestDryPoor,3.160000000000003
18846,ForestDryPoor,2.3900000000000023
18847,ForestDryPoor,3.830000000000003
19137,ForestDryPoor,4.0000000000000036
19141,ForestDryPoor,3.2500000000000027
19142,ForestDryPoor,4.0000000000000036
19143,ForestDryPoor,2.8400000000000025
19144,ForestDryPoor,3.0000000000000027
19432,ForestDryPoor,4.0000000000000036
19433,ForestDryPoor,1.8900000000000017
19438,ForestDryPoor,1.030000000000001
19439,ForestDryPoor,1.4600000000000013
19727,ForestDryPoor,4.0000000000000036
19728,ForestDryPoor,2.200000000000002
19732,ForestDryPoor,3.1200000000000028
19733,ForestDryPoor,3.7600000000000033
20021,ForestDryPoor,3.480000000000003
20022,ForestDryPoor,3.850000000000003
20023,ForestDryPoor,1.8700000000000017
20027,ForestDryPoor,2.7800000000000025
20028,ForestDryPoor,3.670000000000003
20029,ForestDryPoor,3.030000000000003
20315,ForestDryPoor,3.1200000000000028
20316,ForestDryPoor,1.220000000000001
20317,ForestDryPoor,1.4400000000000013
20322,ForestDryPoor,2.7400000000000024
20323,ForestDryPoor,3.300000000000003
20324,ForestDryPoor,4.0000000000000036
20325,ForestDryPoor,1.4500000000000013
20606,ForestDryPoor,3.0000000000000027
20611,ForestDryPoor,3.670000000000003
20612,ForestDryPoor,3.140000000000003
20613,ForestDryPoor,1.6400000000000017
20617,ForestDryPoor,2.100000000000002
20618,ForestDryPoor,3.140000000000003
20619,ForestDryPoor,3.920000000000003
20620,ForestDryPoor,3.620000000000003
20907,ForestDryPoor,3.860000000000003
20908,ForestDryPoor,2.150000000000002
20913,ForestDryPoor,3.940000000000003
20914,ForestDryPoor,3.690000000000003
20915,ForestDryPoor,4.0000000000000036
20916,ForestDryPoor,3.5500000000000034
20917,ForestDryPoor,2.690000000000002
21199,ForestDryPoor,3.260000000000003
21203,ForestDryPoor,1.5400000000000014
21210,ForestDryPoor,3.490000000000003
21211,ForestDryPoor,3.990000000000004
21492,ForestDryPoor,2.6200000000000023
21498,ForestDryPoor,1.6500000000000017
21503,ForestDryPoor,1.8300000000000016
21505,ForestDryPoor,3.980000000000003
21506,ForestDryPoor,3.610000000000003
21509,ForestDryPoor,3.920000000000003
21787,ForestDryPoor,2.950000000000003
