subarea_id	polygon_ha	reference_30pct_target_ha	current_ha	reference_30pct_restoration_ha	restored_ha	final_nature_ha	final_nature_percent
1	7991.14551899	2397.34365570	1841.80000000	555.54365570	1302.67000000	3144.47000000	39.34942734
2	8653.25670293	2595.97701088	1024.99000000	1570.98701088	1667.01000000	2692.00000000	31.10967457
3	13009.83000149	3902.94900045	1969.42000000	1933.52900045	2016.85000000	3986.27000000	30.64044649
4	14526.53943821	4357.96183146	1149.44000000	3208.52183146	2298.01000000	3447.45000000	23.73208027
