patch_id,subarea_id,ExistingPatchAreaHaBySubarea
92704,1,1.447796875
93184,1,2.038088916015625
93200,1,0.010000048828125
93324,1,0.42999990234375
93473,1,9.51621611328125
93476,1,0.0559818603515625
93566,1,0.1051543701171875
93665,1,0.01
93680,1,0.01
93688,1,0.01
93706,1,0.02
93710,1,0.330000048828125
93729,1,0.05
93756,1,0.01
93896,1,0.019999951171875
93928,1,0.019999951171875
93949,1,0.019999951171875
93979,1,0.029999951171875
93980,1,0.020000048828125
93996,1,0.029999951171875
94002,1,0.29559951171875
94011,1,0.009999951171875
94023,1,0.100000048828125
94030,1,0.019999951171875
94059,1,0.009999951171875
94076,1,0.01
94082,1,0.019999951171875
94093,1,0.01
94104,1,6.530000390625
94135,1,0.01
94141,1,0.009999951171875
94169,1,0.01
94177,1,0.029999951171875
94206,1,0.020000048828125
94241,1,1.14000009765625
94249,1,0.029999951171875
94250,1,0.009999951171875
94259,1,0.01
94269,1,0.01
94316,1,0.02
94369,1,0.01
94378,1,1.29
94495,1,1.25
94501,1,0.02
94519,1,27.9300001953125
94527,1,0.01
94530,1,1.759999951171875
94544,1,2.28
94548,1,0.019999951171875
94555,1,0.788586083984375
94581,1,2.749999951171875
94626,1,0.049999951171875
94644,1,0.02
94645,1,0.019999951171875
94648,1,0.010000048828125
94659,1,0.01
94682,1,0.01
94684,1,1.329999951171875
94688,1,0.01
94689,1,0.01
94702,1,0.02
94703,1,0.970000146484375
94712,1,0.02
94717,1,0.05
94719,1,0.02
94722,1,0.299999951171875
94728,1,1.43999990234375
94760,1,0.099999951171875
94878,1,0.01
94894,1,0.010000048828125
95016,1,2.07999990234375
95048,1,1.627595703125
95161,1,0.01
95167,1,3.039999853515625
95208,1,9.859798876953125
95225,1,0.010000048828125
95238,1,0.01
95248,1,0.01
95249,1,0.01
95273,1,0.01
95296,1,2.01
95346,1,0.01
95353,1,8.940000341796875
95358,1,0.010000048828125
95366,1,0.01
95379,1,0.01
95410,1,3.75000009765625
95436,1,0.19000009765625
95512,1,0.560000048828125
95544,1,0.020000048828125
95560,1,0.02
95569,1,0.170000048828125
95576,1,0.06000009765625
95676,1,0.020000048828125
95703,1,8.480000390625
95707,1,1.32999990234375
95741,1,2.428201611328125
95775,1,0.01
95784,1,0.010000048828125
95792,1,1.290000048828125
95826,1,0.339999951171875
95851,1,0.020000048828125
95891,1,0.82
95892,1,0.50519931640625
95906,1,0.01
95910,1,0.009999951171875
95920,1,0.01
95939,1,0.009999951171875
95945,1,0.109999951171875
96010,1,0.5099998046875
96023,1,0.120000048828125
96034,1,0.01
96043,1,0.01
96049,1,0.009999951171875
96061,1,0.01
96062,1,0.01
96063,1,0.020000048828125
96064,1,0.010000048828125
96084,1,0.02
96089,1,1.353201318359375
96091,1,0.039999951171875
96095,1,0.01
96096,1,0.02
96106,1,2.800000048828125
96143,1,0.010000048828125
96148,1,0.020000048828125
96149,1,0.100000048828125
96171,1,0.169999951171875
96172,1,0.099999951171875
96193,1,0.01
96199,1,0.28
96226,1,0.019999951171875
96298,1,50.81999931640625
96310,1,0.180000048828125
96449,1,0.8
96454,1,0.25
96679,1,6.4964005859375
96797,1,0.41
