reclass,Value1,Value2,Count,C_01,SN_Source,SN_NatureTypeCode,C_02,C_03,C_05,C_06,SN_Overall_LandCover,SN_Sub1_NatureLandCover,SN_Sub2_NatureLandCover,SN_Exclude_Modelling,SN_Suitability,SN_ModelClass,SN_Combined_Cat,SN_ForestOpen,ForestShrubOpen,SN_Wet_Dry,SN_Wet_Medium_Dry,SN_Rich_Poor,SN_Calcarious_Acidic,SN_SoilType,SN_Non_native,SN_Deciduous_Coniferous,Coastal_Inland,Comments
4,417,417,2280,40403000,HabitatDirective,4030,Tør hede,European dry heaths,"321000 Natur, tør","321000 Nature, dry",Open dry,Heath,"Grassland, heath and potential grassland",Include,DryPoor,OpenDryPoor,Open dry,Open,Open,Dry,Dry,Poor,Acidic,Sand,Native,NA,Inland,
6,418,418,11113,40722000,HabitatDirective,7220,Kildevæld,Petrifying springs with tufa formation (Cratoneurion),"322000 Natur, våd","322000 Nature, wet",Open wet,"Wet meadows, bogs and springs","Wet meadows, bogs and springs",Include,WetPoor,OpenWetPoor,Open wet,Open,Open,Wet,Wet,Poor,Calcarious,,Native,NA,Both,
6,419,419,3157,30000300,Paragraph3,TBD,Mose,Mire / bog,"322000 Natur, våd","322000 Nature, wet",Open wet,"Wet meadows, bogs and springs","Wet meadows, bogs and springs",Include,WetBoth,OpenWetBoth,Open wet,Open,Open,Wet,Wet,Both,Both,Peat,Native,NA,Both,Paragraph 3 bogs - can be moth nutrient rich and poor. 
9,420,420,1681,30000100,Paragraph3,TBD,Eng,Wet meadow,"322000 Natur, våd","322000 Nature, wet",Open wet,"Wet meadows, bogs and springs","Wet meadows, bogs and springs",Include,WetBoth,OpenWetBoth,Open wet,Open,Open,Wet,Moist,Both,Neutral,Indiff,Native,NA,indiff,"Paragraf 3 wet meadows some can be poor, but most are expected to be relatively rich"
11,421,421,5053,50600000,,,Land,Land,800000 Ikke kortlagt,800000 Unmapped,NA,NA,NA,Exclude,Exclude,Exclude,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
11,422,422,12863,50600000,,,Land,Land,800000 Ikke kortlagt,800000 Unmapped,NA,NA,NA,Exclude,Exclude,Exclude,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
3,423,423,29087,20320500,TBD,TBD,"Slette, Overdrev (overdrev)",Dry meadow,"321000 Natur, tør","321000 Nature, dry",Open dry,Potential grassland,"Grassland, heath and potential grassland",Include,DryBoth,OpenDryBoth,Open dry,Open,Open,Dry,Dry,Both,Both,,Native,NA,Both,Expected to be biological grasslands (overdrev). But unclear from the description. Could be considered excluded. 
9,424,424,242,30000100,Paragraph3,TBD,Eng,Wet meadow,"322000 Natur, våd","322000 Nature, wet",Open wet,"Wet meadows, bogs and springs","Wet meadows, bogs and springs",Include,WetBoth,OpenWetBoth,Open wet,Open,Open,Wet,Moist,Both,Neutral,Indiff,Native,NA,indiff,"Paragraf 3 wet meadows some can be poor, but most are expected to be relatively rich"
11,425,425,234504,50600000,,,Land,Land,800000 Ikke kortlagt,800000 Unmapped,NA,NA,NA,Exclude,Exclude,Exclude,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
9,426,426,3380,30000100,Paragraph3,TBD,Eng,Wet meadow,"322000 Natur, våd","322000 Nature, wet",Open wet,"Wet meadows, bogs and springs","Wet meadows, bogs and springs",Include,WetBoth,OpenWetBoth,Open wet,Open,Open,Wet,Moist,Both,Neutral,Indiff,Native,NA,indiff,"Paragraf 3 wet meadows some can be poor, but most are expected to be relatively rich"
11,427,427,16205,50600000,,,Land,Land,800000 Ikke kortlagt,800000 Unmapped,NA,NA,NA,Exclude,Exclude,Exclude,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
12,428,428,141346,50990113,,,"Teknisk areal, Lufthavn","Technical area, Airport",126000 Lufthavn / landingsbane,126000 Airport / runway,Building and infrastructure,NoLowTerrestialNature,NoLowTerrestialNature,Exclude,Exclude,Exclude,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
12,429,429,9667,50990113,,,"Teknisk areal, Lufthavn","Technical area, Airport",126000 Lufthavn / landingsbane,126000 Airport / runway,Building and infrastructure,NoLowTerrestialNature,NoLowTerrestialNature,Exclude,Exclude,Exclude,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
6,430,430,5993,40723000,HabitatDirective,7230,Rigkær,Alkaline fens,"322000 Natur, våd","322000 Nature, wet",Open wet,"Wet meadows, bogs and springs","Wet meadows, bogs and springs",Include,WetPoor,OpenWetPoor,Open wet,Open,Open,Wet,Wet,Poor,Calcarious,,Native,NA,Both,
12,431,431,35187,50997002,,,"Startbane, Taxivej","Runway, Taxi way",126000 Lufthavn / landingsbane,126000 Airport / runway,Building and infrastructure,NoLowTerrestialNature,NoLowTerrestialNature,Exclude,Exclude,Exclude,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
3,432,432,7604,20320500,TBD,TBD,"Slette, Overdrev (overdrev)",Dry meadow,"321000 Natur, tør","321000 Nature, dry",Open dry,Potential grassland,"Grassland, heath and potential grassland",Include,DryBoth,OpenDryBoth,Open dry,Open,Open,Dry,Dry,Both,Both,,Native,NA,Both,Expected to be biological grasslands (overdrev). But unclear from the description. Could be considered excluded. 
11,433,433,4164,50600000,,,Land,Land,800000 Ikke kortlagt,800000 Unmapped,NA,NA,NA,Exclude,Exclude,Exclude,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
12,434,434,23684,50997003,,,"Startbane, Plads","Runway, Parking",126000 Lufthavn / landingsbane,126000 Airport / runway,Building and infrastructure,NoLowTerrestialNature,NoLowTerrestialNature,Exclude,Exclude,Exclude,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
3,435,435,5023,30000400,Paragraph3,TBD,Overdrev,Dry meadow,"321000 Natur, tør","321000 Nature, dry",Open dry,Grassland,"Grassland, heath and potential grassland",Include,DryPoor,OpenDryPoor,Open dry,Open,Open,Dry,Dry,Poor,Both,,Native,NA,Both,Paragraph 3 graslands
6,436,436,14775,40723000,HabitatDirective,7230,Rigkær,Alkaline fens,"322000 Natur, våd","322000 Nature, wet",Open wet,"Wet meadows, bogs and springs","Wet meadows, bogs and springs",Include,WetPoor,OpenWetPoor,Open wet,Open,Open,Wet,Wet,Poor,Calcarious,,Native,NA,Both,
9,437,437,229,40641000,HabitatDirective,6410,Tidvis våd eng,"Molinia meadows on calcareous, peaty or clayey-silt laden soils (Molinion caeruleae)","322000 Natur, våd","322000 Nature, wet",Open wet,"Wet meadows, bogs and springs","Wet meadows, bogs and springs",Include,WetPoor,OpenWetPoor,Open wet,Open,Open,Wet,Wet,Poor,Calcarious,Peat,Native,NA,Inland,
11,438,438,8811,50600000,,,Land,Land,800000 Ikke kortlagt,800000 Unmapped,NA,NA,NA,Exclude,Exclude,Exclude,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
11,439,439,12463,50600000,,,Land,Land,800000 Ikke kortlagt,800000 Unmapped,NA,NA,NA,Exclude,Exclude,Exclude,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
11,440,440,80026,50600000,,,Land,Land,800000 Ikke kortlagt,800000 Unmapped,NA,NA,NA,Exclude,Exclude,Exclude,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
3,441,441,4737,40623000,HabitatDirective,6230,Surt overdrev,"Species-rich Nardus grasslands, on siliceous substrates in mountain areas (and submountain areas, in Continental Europe)","321000 Natur, tør","321000 Nature, dry",Open dry,Grassland,"Grassland, heath and potential grassland",Include,DryPoor,OpenDryPoor,Open dry,Open,Open,Dry,Dry,Poor,Acidic,,Native,NA,Both,
11,442,442,33258,50600000,,,Land,Land,800000 Ikke kortlagt,800000 Unmapped,NA,NA,NA,Exclude,Exclude,Exclude,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
5,443,443,211014,20310400,Paragraph3?,TDB,Strandeng,Coastal meadow,"322000 Natur, våd","322000 Nature, wet",Open wet,Coastal meadows and related habitats,Coastal meadows and related habitats,Include,WetRich,OpenWetRich ,Open wet,Open,Open,Wet,Wet,Rich,Neutral,,Native,NA,Coastal,
5,444,444,39009,40122000,HabitatDirective,1220,Strandvold med flerårig vegetation,Perennial vegetation of stony banks,"321000 Natur, tør","321000 Nature, dry",Open dry,Coastal meadows and related habitats,Coastal meadows and related habitats,Exclude?,Exclude,Exclude,Open dry,Open,Open,Dry,Moist,Rich,Both ,,Native,NA,Coastal,"Are unlikely to develop on former field transformed to nature. Hence, could potentially be excluded. "
6,445,445,5007,40723000,HabitatDirective,7230,Rigkær,Alkaline fens,"322000 Natur, våd","322000 Nature, wet",Open wet,"Wet meadows, bogs and springs","Wet meadows, bogs and springs",Include,WetPoor,OpenWetPoor,Open wet,Open,Open,Wet,Wet,Poor,Calcarious,,Native,NA,Both,
9,446,446,16470,30000100,Paragraph3,TBD,Eng,Wet meadow,"322000 Natur, våd","322000 Nature, wet",Open wet,"Wet meadows, bogs and springs","Wet meadows, bogs and springs",Include,WetBoth,OpenWetBoth,Open wet,Open,Open,Wet,Moist,Both,Neutral,Indiff,Native,NA,indiff,"Paragraf 3 wet meadows some can be poor, but most are expected to be relatively rich"
11,447,447,8736,50600000,,,Land,Land,800000 Ikke kortlagt,800000 Unmapped,NA,NA,NA,Exclude,Exclude,Exclude,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
11,448,448,2195,50600000,,,Land,Land,800000 Ikke kortlagt,800000 Unmapped,NA,NA,NA,Exclude,Exclude,Exclude,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
11,449,449,40308,50600000,,,Land,Land,800000 Ikke kortlagt,800000 Unmapped,NA,NA,NA,Exclude,Exclude,Exclude,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1,450,450,105860,40911000,HabitatDirective,9110,Bøg på mor,Luzulo-Fagetum beech forests,311000 Skov,311000 Forest,Forest dry,Forest dry,Forest dry,Include,DryPoor,ForestDryPoor,Forest dry,Forest,Forest,Dry,Dry,Poor,Acidic,,Native,Deciduous,Indiff,
1,451,451,269904,40913000,HabitatDirective,9130,Bøg på muld,Asperulo-Fagetum beech forests,311000 Skov,311000 Forest,Forest dry,Forest dry,Forest dry,Include,DryRich,ForestDryRich,Forest dry,Forest,Forest,Dry,Dry,Rich,Neutral,,Native,Deciduous,Indiff,
1,452,452,12365,20610700,TBD,TBD,Bøg,Beech,311000 Skov,311000 Forest,Forest dry,Forest dry,Forest dry,Include?,Exclude,Exclude,Forest dry,Forest,Forest,Dry,Dry,Indiff,Indiff,,Native,Deciduous,Indiff,
9,453,453,406,40641000,HabitatDirective,6410,Tidvis våd eng,"Molinia meadows on calcareous, peaty or clayey-silt laden soils (Molinion caeruleae)","322000 Natur, våd","322000 Nature, wet",Open wet,"Wet meadows, bogs and springs","Wet meadows, bogs and springs",Include,WetPoor,OpenWetPoor,Open wet,Open,Open,Wet,Wet,Poor,Calcarious,Peat,Native,NA,Inland,
10,454,454,1304,20621900,TBD,TBD,Rødgran,Common spruce,311000 Skov,311000 Forest,Forest dry,Forest dry,Forest dry,Include,DryPoor,ForestDryPoor,Forest dry,Forest,Forest,Dry,Dry,Poor,Acidic,,Native,Coniferous,Indiff,
1,455,455,209,20610200,,,Løvtræ uden særlig kode,Not specified deciduous tree,311000 Skov,311000 Forest,Exclude,Exclude,Exclude,Exclude,Exclude,Exclude,Exclude,Forest,,Exclude,Exclude,Exclude,Exclude,,Exclude,Deciduous,Indiff,
1,456,456,4310,20610700,TBD,TBD,Bøg,Beech,311000 Skov,311000 Forest,Forest dry,Forest dry,Forest dry,Include?,Exclude,Exclude,Forest dry,Forest,Forest,Dry,Dry,Indiff,Indiff,,Native,Deciduous,Indiff,
11,457,457,26469,50600000,,,Land,Land,800000 Ikke kortlagt,800000 Unmapped,NA,NA,NA,Exclude,Exclude,Exclude,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
13,458,458,20327,50994201,,,"Sø, Fiskedam","Lake, Fishpond",411000 Sø,411000 Lake,Freshwater,Water,Water,Exclude,Exclude,Exclude,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
2,459,459,2737,40219000,HabitatDirective,2190,Klitlavning,Humid dune slacks,"321000 Natur, tør","321000 Nature, dry",Open wet,Heath,"Wet meadows, bogs and springs",Include,WetPoor,OpenWetPoor,Open wet,Open,Open,Wet,Moist,Poor,Both,Peat,Native,NA,Both,"Basemap classifies ""Dune slacks"" as dry: They are generally wet and here classified as such"
1,460,460,2894,20611000,TBD,TBD,Eg,Oak,311000 Skov,311000 Forest,Forest dry,Forest dry,Forest dry,Include,DryPoor,ForestDryPoor,Forest dry,Forest,Forest,Dry,Dry,Poor,Neutral,,Native,Deciduous,Indiff,
11,461,461,76364,50600000,,,Land,Land,800000 Ikke kortlagt,800000 Unmapped,NA,NA,NA,Exclude,Exclude,Exclude,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
11,462,462,1282,50600000,,,Land,Land,800000 Ikke kortlagt,800000 Unmapped,NA,NA,NA,Exclude,Exclude,Exclude,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1,463,463,26529,10610700,TBD,TBD,Bøg,Beech,311000 Skov,311000 Forest,Forest dry,Forest dry,Forest dry,Include?,Exclude,Exclude,Forest dry,Forest,Forest,Dry,Dry,Indiff,Indiff,,Native,Deciduous,Indiff,
11,464,464,21358,50600000,,,Land,Land,800000 Ikke kortlagt,800000 Unmapped,NA,NA,NA,Exclude,Exclude,Exclude,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1,465,465,151217,20611300,TBD,TBD,Ã†r,Great maple,311000 Skov,311000 Forest,Forest dry,Forest dry,Forest dry,Include,DryRich,ForestDryRich,Forest dry,Forest,Forest,Dry,Dry,Rich,Neutral,,Native,Deciduous,Indiff,
10,466,466,3791,10620200,TBD,TBD,Grandis,Grandis,311000 Skov,311000 Forest,Exclude,Non-native,Non-native,Exclude,Exclude,Exclude,Forest dry,Forest,Forest,Dry,Dry,NA,NA,NA,Non-native,Coniferous,Indiff,
7,467,467,135,20612800,TBD,TBD,Krat,Scrub,311000 Skov,311000 Forest,Shrub,Shrub,Shrub,Exclude,Exclude,Exclude,Shrub,NA,Shrub,NA,NA,NA,NA,NA,NA,NA,,
10,468,468,4835,10621100,TBD,TBD,Almindelig ædelgran,Common silver fir,311000 Skov,311000 Forest,Exclude,Forest,Forest,Exclude,Exclude,Exclude,Forest dry,Forest,Forest,Dry,Dry,NA,NA,NA,Non-native,Coniferous,Indiff,
1,469,469,6,20612500,TBD,TBD,Rødel,Common alder,311000 Skov,311000 Forest,Forest wet,Forest wet,Forest wet,Include,WetRich,ForestWetRich,Forest wet,Forest,Forest,Wet,Wet,Rich,Neutral,,Native,Deciduous,Indiff,
1,470,470,116,20612000,TBD,TBD,Lind,Lime,311000 Skov,311000 Forest,Forest dry,Forest dry,Forest dry,Include,DryBoth,ForestDryBoth,Forest dry,Forest,Forest,Dry,Dry,Medium,Natural,,Native,Deciduous,Indiff,
1,471,471,14,20612200,,,Pil,Willow,311000 Skov,311000 Forest,Exclude,Shrub,Shrub,Exclude,Exclude,Exclude,Exclude,Shrub,,Exclude,Moist,Exclude,Exclude,,Exclude,Deciduous,Indiff,
1,472,472,19,20610800,TBD,TBD,Ã†gte kastanie,Sweet,311000 Skov,311000 Forest,Exclude,Non-native,Non-native,Exclude,Exclude,Exclude,Forest dry,Forest,Forest,Dry,Dry,NA,NA,NA,Non-native,Deciduous,Indiff,
11,473,473,16491,50600000,,,Land,Land,800000 Ikke kortlagt,800000 Unmapped,NA,NA,NA,Exclude,Exclude,Exclude,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
11,474,474,2895,50600000,,,Land,Land,800000 Ikke kortlagt,800000 Unmapped,NA,NA,NA,Exclude,Exclude,Exclude,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
11,475,475,5,50600000,,,Land,Land,800000 Ikke kortlagt,800000 Unmapped,NA,NA,NA,Exclude,Exclude,Exclude,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
7,476,476,15225,40513000,HabitatDirective,5130,Enekrat,Juniperus communis formations on heaths or calcareous grasslands,"321000 Natur, tør","321000 Nature, dry",Open dry,Grassland-Heath,"Grassland, heath and potential grassland",Include,DryPoor,OpenDryPoor,Open dry,Open,Shrub,Dry,Dry,Poor,Both ,Indiff,Native,NA,,
11,477,477,631968,50600000,,,Land,Land,800000 Ikke kortlagt,800000 Unmapped,NA,NA,NA,Exclude,Exclude,Exclude,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
10,478,478,157,20622100,TBD,TBD,Skovfyr,Scotsh pine,311000 Skov,311000 Forest,Forest dry,Forest dry,Forest dry,Include,DryPoor,ForestDryPoor,Forest dry,Forest,Forest,Dry,Dry,Poor,Acidic,,Native,Coniferous,Indiff,
11,479,479,151847,50600000,,,Land,Land,800000 Ikke kortlagt,800000 Unmapped,NA,NA,NA,Exclude,Exclude,Exclude,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1,480,480,108,20610600,TBD,TBD,Birk,Birch,311000 Skov,311000 Forest,Forest dry,Forest dry,Forest dry,Include,DryPoor,ForestDryPoor,Forest dry,Forest,Forest,Dry,Moist,Poor,Indiff,,Native,Deciduous,Indiff,
11,481,481,83821,50600000,,,Land,Land,800000 Ikke kortlagt,800000 Unmapped,NA,NA,NA,Exclude,Exclude,Exclude,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
6,482,482,2862,20310300,Paragraph3,TBD,Mose,Mire / bog,"322000 Natur, våd","322000 Nature, wet",Open wet,"Wet meadows, bogs and springs","Wet meadows, bogs and springs",Include,WetBoth,OpenWetBoth,Open wet,Open,Open,Wet,Wet,Both,Both,Peat,Native,NA,Both,Paragraph 3 bogs - can be moth nutrient rich and poor. 
11,483,483,1317,50600000,,,Land,Land,800000 Ikke kortlagt,800000 Unmapped,NA,NA,NA,Exclude,Exclude,Exclude,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
11,484,484,1062,50600000,,,Land,Land,800000 Ikke kortlagt,800000 Unmapped,NA,NA,NA,Exclude,Exclude,Exclude,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
9,485,485,170,30000100,Paragraph3,TBD,Eng,Wet meadow,"322000 Natur, våd","322000 Nature, wet",Open wet,"Wet meadows, bogs and springs","Wet meadows, bogs and springs",Include,WetBoth,OpenWetBoth,Open wet,Open,Open,Wet,Moist,Both,Neutral,Indiff,Native,NA,indiff,"Paragraf 3 wet meadows some can be poor, but most are expected to be relatively rich"
11,486,486,151805,50600000,,,Land,Land,800000 Ikke kortlagt,800000 Unmapped,NA,NA,NA,Exclude,Exclude,Exclude,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
11,487,487,66344,50600000,,,Land,Land,800000 Ikke kortlagt,800000 Unmapped,NA,NA,NA,Exclude,Exclude,Exclude,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
11,488,488,95531,50600000,,,Land,Land,800000 Ikke kortlagt,800000 Unmapped,NA,NA,NA,Exclude,Exclude,Exclude,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
16,489,489,18363,40123000,HabitatDirective,1230,Kystklint/klippe,Vegetated sea cliffs of the Atlantic and Baltic coasts,"321000 Natur, tør","321000 Nature, dry",Rock and cliff,Rock and cliff,Rock and cliff,Exclude,Exclude,Exclude,Open dry,Open,Open,Dry,Dry,Poor,Both,Rock,Native,NA,Both,
3,490,490,4161,30000400,Paragraph3,TBD,Overdrev,Dry meadow,"321000 Natur, tør","321000 Nature, dry",Open dry,Grassland,"Grassland, heath and potential grassland",Include,DryPoor,OpenDryPoor,Open dry,Open,Open,Dry,Dry,Poor,Both,,Native,NA,Both,Paragraph 3 graslands
11,491,491,10812,50600000,,,Land,Land,800000 Ikke kortlagt,800000 Unmapped,NA,NA,NA,Exclude,Exclude,Exclude,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
11,492,492,34868,50600000,,,Land,Land,800000 Ikke kortlagt,800000 Unmapped,NA,NA,NA,Exclude,Exclude,Exclude,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
11,493,493,11690,50600000,,,Land,Land,800000 Ikke kortlagt,800000 Unmapped,NA,NA,NA,Exclude,Exclude,Exclude,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
12,494,494,123273,50995200,,,Bykerne,City centre,123000 Bykerne,123000 City centre,Building and infrastructure,NoLowTerrestialNature,NoLowTerrestialNature,Exclude,Exclude,Exclude,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
12,495,495,135093,50995200,,,Bykerne,City centre,123000 Bykerne,123000 City centre,Building and infrastructure,NoLowTerrestialNature,NoLowTerrestialNature,Exclude,Exclude,Exclude,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
6,496,496,7617,30000300,Paragraph3,TBD,Mose,Mire / bog,"322000 Natur, våd","322000 Nature, wet",Open wet,"Wet meadows, bogs and springs","Wet meadows, bogs and springs",Include,WetBoth,OpenWetBoth,Open wet,Open,Open,Wet,Wet,Both,Both,Peat,Native,NA,Both,Paragraph 3 bogs - can be moth nutrient rich and poor. 
11,497,497,16496,50600000,,,Land,Land,800000 Ikke kortlagt,800000 Unmapped,NA,NA,NA,Exclude,Exclude,Exclude,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
11,498,498,50970,10700100,,,Ager,Field,"211000 Landbrug, intensivt, midlertidige afgrøder","211000 Agriculture, intensive, temporary crops",Agriculture,NoLowTerrestialNature,NoLowTerrestialNature,Exclude,Exclude,Exclude,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
3,499,499,134,30000400,Paragraph3,TBD,Overdrev,Dry meadow,"321000 Natur, tør","321000 Nature, dry",Open dry,Grassland,"Grassland, heath and potential grassland",Include,DryPoor,OpenDryPoor,Open dry,Open,Open,Dry,Dry,Poor,Both,,Native,NA,Both,Paragraph 3 graslands
1,500,500,84901,10611000,TBD,TBD,Eg,Oak,311000 Skov,311000 Forest,Forest dry,Forest dry,Forest dry,Include,DryPoor,ForestDryPoor,Forest dry,Forest,Forest,Dry,Dry,Poor,Neutral,,Native,Deciduous,Indiff,
10,501,501,44984,10621900,TBD,TBD,Rødgran,Common spruce,311000 Skov,311000 Forest,Forest dry,Forest dry,Forest dry,Include,DryPoor,ForestDryPoor,Forest dry,Forest,Forest,Dry,Dry,Poor,Acidic,,Native,Coniferous,Indiff,
1,502,502,17296,10610600,TBD,TBD,Birk,Birch,311000 Skov,311000 Forest,Forest dry,Forest dry,Forest dry,Include,DryPoor,ForestDryPoor,Forest dry,Forest,Forest,Dry,Moist,Poor,Indiff,,Native,Deciduous,Indiff,
10,503,503,1978,10620300,,,Nåletræ uden særlig kode,Not specified coniferous tree,311000 Skov,311000 Forest,Exclude,Exclude,Exclude,Exclude,Exclude,Exclude,Exclude,Forest,,Exclude,Exclude,Exclude,Exclude,,Exclude,Coniferous,Indiff,
3,504,504,18,30000400,Paragraph3,TBD,Overdrev,Dry meadow,"321000 Natur, tør","321000 Nature, dry",Open dry,Grassland,"Grassland, heath and potential grassland",Include,DryPoor,OpenDryPoor,Open dry,Open,Open,Dry,Dry,Poor,Both,,Native,NA,Both,Paragraph 3 graslands
11,505,505,75906,50600000,,,Land,Land,800000 Ikke kortlagt,800000 Unmapped,NA,NA,NA,Exclude,Exclude,Exclude,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
11,506,506,2783,50600000,,,Land,Land,800000 Ikke kortlagt,800000 Unmapped,NA,NA,NA,Exclude,Exclude,Exclude,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
11,507,507,242,50600000,,,Land,Land,800000 Ikke kortlagt,800000 Unmapped,NA,NA,NA,Exclude,Exclude,Exclude,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
11,508,508,9802,50600000,,,Land,Land,800000 Ikke kortlagt,800000 Unmapped,NA,NA,NA,Exclude,Exclude,Exclude,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
9,509,509,67785,10310100,Paragraph3,TBD,Eng,Wet meadow,"322000 Natur, våd","322000 Nature, wet",Open wet,"Wet meadows, bogs and springs","Wet meadows, bogs and springs",Include,WetBoth,OpenWetBoth,Open wet,Open,Open,Wet,Moist,Both,Neutral,Indiff,Native,NA,indiff,"Paragraf 3 wet meadows some can be poor, but most are expected to be relatively rich"
3,510,510,745,10320200,TBD,TBD,Frit areal (overdrev),Open area,"321000 Natur, tør","321000 Nature, dry",Open dry,Potential grassland,"Grassland, heath and potential grassland",Exclude,Exclude,Exclude,Open dry,Open,Open,Dry,Dry,Both,Both,Indiff,Native,NA,indiff,"Unclear how this is managed, is it biological grasland (overdrev) or just permanent grass covered areas with with either intense or extensive argiculture. Suggest excluding. "
10,511,511,13751,10621400,TBD,TBD,Lærk,Larch,311000 Skov,311000 Forest,Exclude,Non-native,Non-native,Exclude,Exclude,Exclude,Forest dry,Forest,Forest,Dry,Dry,NA,NA,NA,Non-native,Coniferous,Indiff,
10,512,512,28960,10622000,TBD,TBD,Sitagran,Sita spruce,311000 Skov,311000 Forest,Exclude,Non-native,Non-native,Exclude,Exclude,Exclude,Forest dry,Forest,Forest,Dry,Dry,NA,NA,NA,Non-native,Coniferous,Indiff,
2,513,513,709,40216000,HabitatDirective,2160,Havtornklit,Dunes with Hippophae rhamnoides,"321000 Natur, tør","321000 Nature, dry",Open dry,Dune,Dune,Include,DryPoor,OpenDryPoor,Open dry,Open,Shrub,Dry,Dry,Poor,Neutral,Sand,Native,NA,Coastal,
9,514,514,183,10310100,Paragraph3,TBD,Eng,Wet meadow,"322000 Natur, våd","322000 Nature, wet",Open wet,"Wet meadows, bogs and springs","Wet meadows, bogs and springs",Include,WetBoth,OpenWetBoth,Open wet,Open,Open,Wet,Moist,Both,Neutral,Indiff,Native,NA,indiff,"Paragraf 3 wet meadows some can be poor, but most are expected to be relatively rich"
3,515,515,395,40623000,HabitatDirective,6230,Surt overdrev,"Species-rich Nardus grasslands, on siliceous substrates in mountain areas (and submountain areas, in Continental Europe)","321000 Natur, tør","321000 Nature, dry",Open dry,Grassland,"Grassland, heath and potential grassland",Include,DryPoor,OpenDryPoor,Open dry,Open,Open,Dry,Dry,Poor,Acidic,,Native,NA,Both,
10,516,516,7492,10620800,TBD,TBD,Douglas,Douglas fir,311000 Skov,311000 Forest,Exclude,Non-native,Non-native,Exclude,Exclude,Exclude,Forest dry,Forest,Forest,Dry,Dry,NA,NA,NA,Non-native,Coniferous,Indiff,
4,517,517,522,30000200,Paragraph3,TBD,Hede,Heather,"321000 Natur, tør","321000 Nature, dry",Open dry,Heath,"Grassland, heath and potential grassland",Include,DryPoor,OpenDryPoor,Open dry,Open,Open,Dry,Dry,Poor,Acidic,Sand,Native,NA,Coastal or indland,Paragraph 3 heaths can be both inland or coastal
11,518,518,5758,50600000,,,Land,Land,800000 Ikke kortlagt,800000 Unmapped,NA,NA,NA,Exclude,Exclude,Exclude,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
3,519,519,754,30000400,Paragraph3,TBD,Overdrev,Dry meadow,"321000 Natur, tør","321000 Nature, dry",Open dry,Grassland,"Grassland, heath and potential grassland",Include,DryPoor,OpenDryPoor,Open dry,Open,Open,Dry,Dry,Poor,Both,,Native,NA,Both,Paragraph 3 graslands
2,520,520,1033,40216000,HabitatDirective,2160,Havtornklit,Dunes with Hippophae rhamnoides,"321000 Natur, tør","321000 Nature, dry",Open dry,Dune,Dune,Include,DryPoor,OpenDryPoor,Open dry,Open,Shrub,Dry,Dry,Poor,Neutral,Sand,Native,NA,Coastal,
