reclass,Value1,Value2,Count,C_01,SN_Source,SN_NatureTypeCode,C_02,C_03,C_05,C_06,SN_Overall_LandCover,SN_Sub1_NatureLandCover,SN_Sub2_NatureLandCover,SN_Exclude_Modelling,SN_Suitability,SN_ModelClass,SN_Combined_Cat,SN_ForestOpen,ForestShrubOpen,SN_Wet_Dry,SN_Wet_Medium_Dry,SN_Rich_Poor,SN_Calcarious_Acidic,SN_SoilType,SN_Non_native,SN_Deciduous_Coniferous,Coastal_Inland,Comments
12,11,11,10507171,50996301,,,"Vejmidte, Anden vej, befæstet","Road centreline, Other road, paved","141000 Vej, befæsted","141000 Road, paved",Building and infrastructure,NoLowTerrestialNature,NoLowTerrestialNature,Exclude,Exclude,Exclude,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
2,12,12,70933,10320600,TBD,TBD,Klit,Dune,"321000 Natur, tør","321000 Nature, dry",Open dry,Dune,Dune,Include,DryPoor,OpenDryPoor,Open dry,Open,Open,Dry,Dry,Poor,Neutral,Sand,Native,NA,Coastal,
6,13,13,161754,10310300,Paragraph3,TBD,Mose,Mire / bog,"322000 Natur, våd","322000 Nature, wet",Open wet,"Wet meadows, bogs and springs","Wet meadows, bogs and springs",Include,WetBoth,OpenWetBoth,Open wet,Open,Open,Wet,Wet,Both,Both,Peat,Native,NA,Both,Paragraph 3 bogs - can be moth nutrient rich and poor. 
2,14,14,405835,40214000,HabitatDirective,2140,Klithede,Decalcified fixed dunes with Empetrum nigrum,"321000 Natur, tør","321000 Nature, dry",Open dry,Heath,"Grassland, heath and potential grassland",Include,DryPoor,OpenDryPoor,Open dry,Open,Open,Dry,Dry,Poor,Acidic,,Native,NA,Both,
13,15,15,654558,30000600,,,Sø,Lake,411000 Sø,411000 Lake,Freshwater,Water,Water,Exclude,Exclude,Exclude,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
2,16,16,16579,40218000,HabitatDirective,2180,Skovklit,"Wooded dunes of the Atlantic, Continental and Boreal region",311000 Skov,311000 Forest,Forest dry,Dune,Dune,Include,DryPoor,ForestDryPoor,Forest dry,Forest,Forest,Dry,Dry,Poor,Acidic,Sand,Native,Deciduous,Indiff,
12,17,17,111222,50994601,,,"Bygning, Bygning","Building, Building",110000 Bygning,110000 Building,Building and infrastructure,NoLowTerrestialNature,NoLowTerrestialNature,Exclude,Exclude,Exclude,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1,18,18,4024,10610400,TBD,TBD,Bævreasp,Aspen,311000 Skov,311000 Forest,Forest dry,Forest dry,Forest dry,Include,DryPoor,ForestDryPoor,Forest dry,Forest,Forest,Dry,Moist,Poor,Acidic,,Native,Deciduous,Indiff,
4,19,19,748168,10320100,Paragraph3,TBD,Hede,Heather,"321000 Natur, tør","321000 Nature, dry",Open dry,Heath,"Grassland, heath and potential grassland",Include,DryPoor,OpenDryPoor,Open dry,Open,Open,Dry,Dry,Poor,Acidic,Sand,Native,NA,Coastal or indland,Paragraph 3 heaths can be both inland or coastal
4,20,20,3040557,30000200,Paragraph3,TBD,Hede,Heather,"321000 Natur, tør","321000 Nature, dry",Open dry,Heath,"Grassland, heath and potential grassland",Include,DryPoor,OpenDryPoor,Open dry,Open,Open,Dry,Dry,Poor,Acidic,Sand,Native,NA,Coastal or indland,Paragraph 3 heaths can be both inland or coastal
6,21,21,5954889,30000300,Paragraph3,TBD,Mose,Mire / bog,"322000 Natur, våd","322000 Nature, wet",Open wet,"Wet meadows, bogs and springs","Wet meadows, bogs and springs",Include,WetBoth,OpenWetBoth,Open wet,Open,Open,Wet,Wet,Both,Both,Peat,Native,NA,Both,Paragraph 3 bogs - can be moth nutrient rich and poor. 
4,22,22,385981,50991800,Paragraph3,TBD,Hede,Heather,"321000 Natur, tør","321000 Nature, dry",Open dry,Heath,"Grassland, heath and potential grassland",Include,DryPoor,OpenDryPoor,Open dry,Open,Open,Dry,Dry,Poor,Acidic,Sand,Native,NA,Coastal or indland,Paragraph 3 heaths can be both inland or coastal
10,23,23,42040,10620500,TBD,TBD,Bjergfyr,Mountain pine,311000 Skov,311000 Forest,Exclude,Non-native,Non-native,Exclude,Exclude,Exclude,Forest dry,Forest,Forest,Dry,Dry,Poor,Acidic,,Non-native,Coniferous,Indiff,
