Taxa,currentCanonicalFull,usageKey,acceptedUsageKey,speciesKey,confidence,matchType,status,canonicalName,scientificName,kingdom,phylum,class,order,family,genus,species,rank,gbif_speciesKey
Abax parallelepipedus,Abax parallelepipedus,5754772,NA,5754772,99,EXACT,ACCEPTED,Abax parallelepipedus,"Abax parallelepipedus (Piller & Mitterpacher, 1783)",Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Abax,Abax parallelepipedus,SPECIES,5754772
Abdera affinis,Abdera affinis,4453554,NA,4453554,99,EXACT,ACCEPTED,Abdera affinis,"Abdera affinis (Paykull, 1799)",Animalia,Arthropoda,Insecta,Coleoptera,Melandryidae,Abdera,Abdera affinis,SPECIES,4453554
Abdera biflexuosa,Abdera biflexuosa,7984899,NA,7984899,99,EXACT,ACCEPTED,Abdera biflexuosa,"Abdera biflexuosa (Curtis, 1829)",Animalia,Arthropoda,Insecta,Coleoptera,Melandryidae,Abdera,Abdera biflexuosa,SPECIES,7984899
Abdera flexuosa,Abdera flexuosa,4453551,NA,4453551,99,EXACT,ACCEPTED,Abdera flexuosa,"Abdera flexuosa (Paykull, 1799)",Animalia,Arthropoda,Insecta,Coleoptera,Melandryidae,Abdera,Abdera flexuosa,SPECIES,4453551
Abgrallaspis cyanophylli,Abgrallaspis cyanophylli,7561279,NA,7561279,97,EXACT,ACCEPTED,Abgrallaspis cyanophylli,"Abgrallaspis cyanophylli (Signoret, 1869)",Animalia,Arthropoda,Insecta,Hemiptera,Diaspididae,Abgrallaspis,Abgrallaspis cyanophylli,SPECIES,7561279
Abia aenea,Abia aenea,8305113,NA,8305113,99,EXACT,ACCEPTED,Abia aenea,"Abia aenea (Klug, 1820)",Animalia,Arthropoda,Insecta,Hymenoptera,Cimbicidae,Abia,Abia aenea,SPECIES,8305113
Abia fasciata,Abia fasciata,5759491,NA,5759491,99,EXACT,ACCEPTED,Abia fasciata,"Abia fasciata (Linnaeus, 1758)",Animalia,Arthropoda,Insecta,Hymenoptera,Cimbicidae,Abia,Abia fasciata,SPECIES,5759491
Abia lonicerae,Abia lonicerae,5759485,NA,5759485,99,EXACT,ACCEPTED,Abia lonicerae,"Abia lonicerae (Linnaeus, 1758)",Animalia,Arthropoda,Insecta,Hymenoptera,Cimbicidae,Abia,Abia lonicerae,SPECIES,5759485
Abia mutica,Abia mutica,7980543,NA,7980543,99,EXACT,ACCEPTED,Abia mutica,"Abia mutica Thomson, 1871",Animalia,Arthropoda,Insecta,Hymenoptera,Cimbicidae,Abia,Abia mutica,SPECIES,7980543
Abia sericea,Abia sericea,5759492,NA,5759492,99,EXACT,ACCEPTED,Abia sericea,"Abia sericea (Linnaeus, 1767)",Animalia,Arthropoda,Insecta,Hymenoptera,Cimbicidae,Abia,Abia sericea,SPECIES,5759492
Abies alba,Abies alba,2685484,NA,2685484,97,EXACT,ACCEPTED,Abies alba,Abies alba Mill.,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Abies,Abies alba,SPECIES,2685484
Abies balsamea,Abies balsamea,2685383,NA,2685383,99,EXACT,ACCEPTED,Abies balsamea,Abies balsamea (L.) Mill.,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Abies,Abies balsamea,SPECIES,2685383
Abies cephalonica,Abies cephalonica,2685326,NA,2685326,98,EXACT,ACCEPTED,Abies cephalonica,Abies cephalonica Loudon,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Abies,Abies cephalonica,SPECIES,2685326
Abies concolor,Abies concolor,2685580,NA,2685580,98,EXACT,ACCEPTED,Abies concolor,Abies concolor (Gordon) Lindl. ex Hildebr.,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Abies,Abies concolor,SPECIES,2685580
Abies grandis,Abies grandis,2685361,NA,2685361,97,EXACT,ACCEPTED,Abies grandis,Abies grandis (Douglas ex D.Don) Lindl.,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Abies,Abies grandis,SPECIES,2685361
Abies homolepis,Abies homolepis,2685663,NA,2685663,99,EXACT,ACCEPTED,Abies homolepis,Abies homolepis Siebold & Zucc.,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Abies,Abies homolepis,SPECIES,2685663
Abies koreana,Abies koreana,2685681,NA,2685681,99,EXACT,ACCEPTED,Abies koreana,Abies koreana E.H.Wilson,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Abies,Abies koreana,SPECIES,2685681
Abies lasiocarpa,Abies lasiocarpa,2685313,NA,2685313,97,EXACT,ACCEPTED,Abies lasiocarpa,Abies lasiocarpa (Hook.) Nutt.,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Abies,Abies lasiocarpa,SPECIES,2685313
Abies nordmanniana,Abies nordmanniana,2685552,NA,2685552,99,EXACT,ACCEPTED,Abies nordmanniana,Abies nordmanniana (Steven) Spach,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Abies,Abies nordmanniana,SPECIES,2685552
Abies pinsapo,Abies pinsapo,2685464,NA,2685464,99,EXACT,ACCEPTED,Abies pinsapo,Abies pinsapo Boiss.,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Abies,Abies pinsapo,SPECIES,2685464
Abies procera,Abies procera,2685308,NA,2685308,99,EXACT,ACCEPTED,Abies procera,Abies procera Rehd.,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Abies,Abies procera,SPECIES,2685308
Abies sibirica,Abies sibirica,2685654,NA,2685654,97,EXACT,ACCEPTED,Abies sibirica,Abies sibirica Ledeb.,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Abies,Abies sibirica,SPECIES,2685654
Abies veitchii,Abies veitchii,2685400,NA,2685400,99,EXACT,ACCEPTED,Abies veitchii,Abies veitchii Lindl.,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Abies,Abies veitchii,SPECIES,2685400
Abietinaria abietina,Abietinaria abietina,2269258,NA,2269258,99,EXACT,ACCEPTED,Abietinaria abietina,"Abietinaria abietina (Linnaeus, 1758)",Animalia,Cnidaria,Hydrozoa,Leptothecata,Sertulariidae,Abietinaria,Abietinaria abietina,SPECIES,2269258
Abietinaria filicula,Abietinaria filicula,2269252,NA,2269252,99,EXACT,ACCEPTED,Abietinaria filicula,"Abietinaria filicula (Ellis & Solander, 1786)",Animalia,Cnidaria,Hydrozoa,Leptothecata,Sertulariidae,Abietinaria,Abietinaria filicula,SPECIES,2269252
Abietinaria fusca,Abietinaria fusca,2269280,NA,2269280,99,EXACT,ACCEPTED,Abietinaria fusca,"Abietinaria fusca (Johnston, 1847)",Animalia,Cnidaria,Hydrozoa,Leptothecata,Sertulariidae,Abietinaria,Abietinaria fusca,SPECIES,2269280
Abietinella abietina,Abietinella abietina,5283402,NA,5283402,99,EXACT,ACCEPTED,Abietinella abietina,Abietinella abietina (Hedw.) M.Fleisch.,Plantae,Bryophyta,Bryopsida,Hypnales,Thuidiaceae,Abietinella,Abietinella abietina,SPECIES,5283402
Ablabesmyia longistyla,Ablabesmyia longistyla,1450425,NA,1450425,99,EXACT,ACCEPTED,Ablabesmyia longistyla,"Ablabesmyia longistyla Fittkau, 1962",Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Ablabesmyia,Ablabesmyia longistyla,SPECIES,1450425
Ablabesmyia monilis,Ablabesmyia monilis,1450453,NA,1450453,99,EXACT,ACCEPTED,Ablabesmyia monilis,"Ablabesmyia monilis (Linnaeus, 1758)",Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Ablabesmyia,Ablabesmyia monilis,SPECIES,1450453
Ablabesmyia phatta,Ablabesmyia phatta,1450478,NA,1450478,99,EXACT,ACCEPTED,Ablabesmyia phatta,"Ablabesmyia phatta (Egger, 1864)",Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Ablabesmyia,Ablabesmyia phatta,SPECIES,1450478
Ablaxia squamifera,Ablaxia squamifera,1394907,NA,1394907,99,EXACT,ACCEPTED,Ablaxia squamifera,"Ablaxia squamifera (Thomson, 1878)",Animalia,Arthropoda,Insecta,Hymenoptera,Pteromalidae,Ablaxia,Ablaxia squamifera,SPECIES,1394907
Abludomelita obtusata,Abludomelita obtusata,2215986,NA,2215986,99,EXACT,ACCEPTED,Abludomelita obtusata,"Abludomelita obtusata (Montagu, 1813)",Animalia,Arthropoda,Malacostraca,Amphipoda,Melitidae,Abludomelita,Abludomelita obtusata,SPECIES,2215986
Abortiporus biennis,Abortiporus biennis,2544114,NA,2544114,99,EXACT,ACCEPTED,Abortiporus biennis,Abortiporus biennis (Bull.) Singer,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Podoscyphaceae,Abortiporus,Abortiporus biennis,SPECIES,2544114
Abra alba,Abra alba,5189061,NA,5189061,99,EXACT,ACCEPTED,Abra alba,"Abra alba (W.Wood, 1802)",Animalia,Mollusca,Bivalvia,Cardiida,Semelidae,Abra,Abra alba,SPECIES,5189061
Abra prismatica,Abra prismatica,5189053,NA,5189053,99,EXACT,ACCEPTED,Abra prismatica,"Abra prismatica (Montagu, 1808)",Animalia,Mollusca,Bivalvia,Cardiida,Semelidae,Abra,Abra prismatica,SPECIES,5189053
Abraeus granulum,Abraeus granulum,4433517,NA,4433517,99,EXACT,ACCEPTED,Abraeus granulum,"Abraeus granulum Erichson, 1839",Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,Abraeus,Abraeus granulum,SPECIES,4433517
Abraeus perpusillus,Abraeus perpusillus,4433510,NA,4433510,99,EXACT,ACCEPTED,Abraeus perpusillus,"Abraeus perpusillus (Marsham, 1802)",Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,Abraeus,Abraeus perpusillus,SPECIES,4433510
Abramis brama,Abramis brama,9809222,NA,9809222,97,EXACT,ACCEPTED,Abramis brama,"Abramis brama (Linnaeus, 1758)",Animalia,Chordata,NA,Cypriniformes,Cyprinidae,Abramis,Abramis brama,SPECIES,9809222
Abraxas grossulariata,Abraxas grossulariata,1967873,NA,1967873,97,EXACT,ACCEPTED,Abraxas grossulariata,"Abraxas grossulariata (Linnaeus, 1758)",Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Abraxas,Abraxas grossulariata,SPECIES,1967873
Abraxas sylvata,Abraxas sylvata,1967815,NA,1967815,97,EXACT,ACCEPTED,Abraxas sylvata,"Abraxas sylvata (Scopoli, 1763)",Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Abraxas,Abraxas sylvata,SPECIES,1967815
Abrolophus norvegicus,Abrolophus norvegicus,4539827,NA,4539827,99,EXACT,ACCEPTED,Abrolophus norvegicus,"Abrolophus norvegicus (Thor, 1900)",Animalia,Arthropoda,Arachnida,Trombidiformes,Erythraeidae,Abrolophus,Abrolophus norvegicus,SPECIES,4539827
Abrolophus nymindegabicus,Abrolophus nymindegabicus,10771058,NA,10771058,99,EXACT,ACCEPTED,Abrolophus nymindegabicus,"Abrolophus nymindegabicus Haitlinger, 2008",Animalia,Arthropoda,Arachnida,Trombidiformes,Erythraeidae,Abrolophus,Abrolophus nymindegabicus,SPECIES,10771058
Abrolophus quisquiliarus,Abrolophus quisquiliarus,4539810,NA,4539810,99,EXACT,ACCEPTED,Abrolophus quisquiliarus,"Abrolophus quisquiliarus (Hermann, 1804)",Animalia,Arthropoda,Arachnida,Trombidiformes,Erythraeidae,Abrolophus,Abrolophus quisquiliarus,SPECIES,4539810
Abrolophus rubipes,Abrolophus rubipes,4539814,NA,4539814,99,EXACT,ACCEPTED,Abrolophus rubipes,"Abrolophus rubipes (Trouessart, 1888)",Animalia,Arthropoda,Arachnida,Trombidiformes,Erythraeidae,Abrolophus,Abrolophus rubipes,SPECIES,4539814
Abrolophus wratislaviensis,Abrolophus wratislaviensis,10853859,NA,10853859,99,EXACT,ACCEPTED,Abrolophus wratislaviensis,"Abrolophus wratislaviensis (Haitlinger, 1986)",Animalia,Arthropoda,Arachnida,Trombidiformes,Erythraeidae,Abrolophus,Abrolophus wratislaviensis,SPECIES,10853859
Abrostola asclepiadis,Abrostola asclepiadis,1767608,NA,1767608,97,EXACT,ACCEPTED,Abrostola asclepiadis,"Abrostola asclepiadis (Denis & Schiffermüller) , 1775",Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Abrostola,Abrostola asclepiadis,SPECIES,1767608
Abrostola tripartita,Abrostola tripartita,1767625,NA,1767625,99,EXACT,ACCEPTED,Abrostola tripartita,"Abrostola tripartita (Hufnagel, 1766)",Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Abrostola,Abrostola tripartita,SPECIES,1767625
Abrostola triplasia,Abrostola triplasia,1767597,NA,1767597,99,EXACT,ACCEPTED,Abrostola triplasia,"Abrostola triplasia (Linnaeus, 1758)",Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Abrostola,Abrostola triplasia,SPECIES,1767597
Abrothallus caerulescens,Abrothallus caerulescens,2592373,NA,2592373,98,EXACT,ACCEPTED,Abrothallus caerulescens,Abrothallus caerulescens I.Kotte,Fungi,Ascomycota,Dothideomycetes,Abrothallales,Abrothallaceae,Abrothallus,Abrothallus caerulescens,SPECIES,2592373
Abrothallus cladoniae,Abrothallus cladoniae,2592374,NA,2592374,97,EXACT,ACCEPTED,Abrothallus cladoniae,Abrothallus cladoniae R.Sant. & D.Hawksw.,Fungi,Ascomycota,Dothideomycetes,Abrothallales,Abrothallaceae,Abrothallus,Abrothallus cladoniae,SPECIES,2592374
Abrothallus bertianus,Abrothallus parmeliarum,7513752,NA,7513752,97,EXACT,ACCEPTED,Abrothallus parmeliarum,Abrothallus parmeliarum (Sommerf.) Arnold,Fungi,Ascomycota,Dothideomycetes,Abrothallales,Abrothallaceae,Abrothallus,Abrothallus parmeliarum,SPECIES,7513752
Absconditella sphagnorum,Absconditella sphagnorum,2603172,NA,2603172,99,EXACT,ACCEPTED,Absconditella sphagnorum,Absconditella sphagnorum Vĕzda & Poelt,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Stictidaceae,Absconditella,Absconditella sphagnorum,SPECIES,2603172
Absyrtus vernalis,Absyrtus vernalis,1280176,NA,1280176,99,EXACT,ACCEPTED,Absyrtus vernalis,"Absyrtus vernalis Bauer, 1961",Animalia,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,Absyrtus,Absyrtus vernalis,SPECIES,1280176
Absyrtus vicinator,Absyrtus vicinator,1280178,NA,1280178,99,EXACT,ACCEPTED,Absyrtus vicinator,"Absyrtus vicinator (Thunberg, 1822)",Animalia,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,Absyrtus,Absyrtus vicinator,SPECIES,1280178
Abutilon theophrasti,Abutilon theophrasti,3152614,NA,3152614,99,EXACT,ACCEPTED,Abutilon theophrasti,Abutilon theophrasti Medik.,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Abutilon,Abutilon theophrasti,SPECIES,3152614
Abyssoninoe scopa,Abyssoninoe scopa,2323223,NA,2323223,99,EXACT,ACCEPTED,Abyssoninoe scopa,"Abyssoninoe scopa (Fauchald, 1974)",Animalia,Annelida,Polychaeta,Eunicida,Lumbrineridae,Abyssoninoe,Abyssoninoe scopa,SPECIES,2323223
Acacia saligna,Acacia saligna,2978552,NA,2978552,99,EXACT,ACCEPTED,Acacia saligna,Acacia saligna (Labill.) H.L.Wendl.,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,Acacia saligna,SPECIES,2978552
Acaena novae-zelandiae,Acaena novae-zelandiae,5370755,NA,5370755,99,EXACT,ACCEPTED,Acaena novae-zelandiae,Acaena novae-zelandiae Kirk,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Acaena,Acaena novae-zelandiae,SPECIES,5370755
Acaenitus dubitator,Acaenitus dubitator,1306626,NA,1306626,99,EXACT,ACCEPTED,Acaenitus dubitator,"Acaenitus dubitator (Panzer, 1800)",Animalia,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,Acaenitus,Acaenitus dubitator,SPECIES,1306626
Acalitus brevitarsus,Acalitus brevitarsus,4544242,NA,4544242,99,EXACT,ACCEPTED,Acalitus brevitarsus,"Acalitus brevitarsus (Fockeu, 1890)",Animalia,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,Acalitus,Acalitus brevitarsus,SPECIES,4544242
Acalitus calycophthirus,Acalitus calycophthirus,4544252,NA,4544252,99,EXACT,ACCEPTED,Acalitus calycophthirus,"Acalitus calycophthirus (Nalepa, 1891)",Animalia,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,Acalitus,Acalitus calycophthirus,SPECIES,4544252
Acalitus essigi,Acalitus essigi,2128559,NA,2128559,99,EXACT,ACCEPTED,Acalitus essigi,"Acalitus essigi (Hassan, 1928)",Animalia,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,Acalitus,Acalitus essigi,SPECIES,2128559
Acalitus longisetosus,Acalitus longisetosus,4544254,NA,4544254,99,EXACT,ACCEPTED,Acalitus longisetosus,"Acalitus longisetosus (Nalepa, 1893)",Animalia,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,Acalitus,Acalitus longisetosus,SPECIES,4544254
Acalitus rudis,Acalitus rudis,10185681,NA,10185681,98,EXACT,ACCEPTED,Acalitus rudis,"Acalitus rudis (G.Canestrini, 1890)",Animalia,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,Acalitus,Acalitus rudis,SPECIES,10185681
Acalitus stenaspis,Acalitus stenaspis,4544248,NA,4544248,99,EXACT,ACCEPTED,Acalitus stenaspis,"Acalitus stenaspis (Nalepa, 1891)",Animalia,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,Acalitus,Acalitus stenaspis,SPECIES,4544248
Acalles camelus,Acalles camelus,1211506,NA,1211506,99,EXACT,ACCEPTED,Acalles camelus,"Acalles camelus (J.C.Fabricius, 1792)",Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Acalles,Acalles camelus,SPECIES,1211506
Acalles echinatus,Acalles echinatus,1211471,NA,1211471,98,EXACT,ACCEPTED,Acalles echinatus,"Acalles echinatus Bed., 1882-88",Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Acalles,Acalles echinatus,SPECIES,1211471
Acalles misellus,Acalles misellus,1211839,NA,1211839,99,EXACT,ACCEPTED,Acalles misellus,"Acalles misellus Bohem., 1844",Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Acalles,Acalles misellus,SPECIES,1211839
Acalles ptinoides,Acalles ptinoides,8121411,NA,8121411,97,EXACT,ACCEPTED,Acalles ptinoides,"Acalles ptinoides Dej., 1836",Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Acalles,Acalles ptinoides,SPECIES,8121411
Acalypta carinata,Acalypta carinata,2020737,NA,2020737,99,EXACT,ACCEPTED,Acalypta carinata,"Acalypta carinata (Panzer, 1806)",Animalia,Arthropoda,Insecta,Hemiptera,Tingidae,Acalypta,Acalypta carinata,SPECIES,2020737
Acalypta gracilis,Acalypta gracilis,4488996,NA,4488996,99,EXACT,ACCEPTED,Acalypta gracilis,"Acalypta gracilis (Fieber, 1844)",Animalia,Arthropoda,Insecta,Hemiptera,Tingidae,Acalypta,Acalypta gracilis,SPECIES,4488996
Acalypta nigrina,Acalypta nigrina,4488999,NA,4488999,99,EXACT,ACCEPTED,Acalypta nigrina,"Acalypta nigrina (Fallén, 1807)",Animalia,Arthropoda,Insecta,Hemiptera,Tingidae,Acalypta,Acalypta nigrina,SPECIES,4488999
Acalypta parvula,Acalypta parvula,2020740,NA,2020740,99,EXACT,ACCEPTED,Acalypta parvula,"Acalypta parvula (Fallén, 1807)",Animalia,Arthropoda,Insecta,Hemiptera,Tingidae,Acalypta,Acalypta parvula,SPECIES,2020740
Acalypta platycheila,Acalypta platycheila,4489001,NA,4489001,99,EXACT,ACCEPTED,Acalypta platycheila,"Acalypta platycheila (Fieber, 1844)",Animalia,Arthropoda,Insecta,Hemiptera,Tingidae,Acalypta,Acalypta platycheila,SPECIES,4489001
Acalyptus carpini,Acalyptus carpini,5013501,NA,5013501,98,EXACT,ACCEPTED,Acalyptus carpini,"Acalyptus carpini (J.C.Fabricius, 1792)",Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Acalyptus,Acalyptus carpini,SPECIES,5013501
Acalyptus sericeus,Acalyptus sericeus,5013497,NA,5013497,99,EXACT,ACCEPTED,Acalyptus sericeus,"Acalyptus sericeus Gyllenhal, 1835",Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Acalyptus,Acalyptus sericeus,SPECIES,5013497
Acampsis alternipes,Acampsis alternipes,1253575,NA,1253575,99,EXACT,ACCEPTED,Acampsis alternipes,"Acampsis alternipes (Nees, 1816)",Animalia,Arthropoda,Insecta,Hymenoptera,Braconidae,Acampsis,Acampsis alternipes,SPECIES,1253575
Acamptocladius reissi,Acamptocladius reissi,1451565,NA,1451565,99,EXACT,ACCEPTED,Acamptocladius reissi,"Acamptocladius reissi Cranston & Saether, 1981",Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Acamptocladius,Acamptocladius reissi,SPECIES,1451565
Acamptocladius submontanus,Acamptocladius submontanus,1451561,NA,1451561,99,EXACT,ACCEPTED,Acamptocladius submontanus,"Acamptocladius submontanus (Edwards, 1932)",Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Acamptocladius,Acamptocladius submontanus,SPECIES,1451561
Acanopsilus heterocerus,Acanopsilus heterocerus,4503482,NA,4503482,99,EXACT,ACCEPTED,Acanopsilus heterocerus,"Acanopsilus heterocerus (Haliday, 1857)",Animalia,Arthropoda,Insecta,Hymenoptera,Diapriidae,Acanopsilus,Acanopsilus heterocerus,SPECIES,4503482
Acanopsilus nixoni,Acanopsilus nixoni,10752990,NA,10752990,99,EXACT,ACCEPTED,Acanopsilus nixoni,Acanopsilus nixoni Macek,Animalia,Arthropoda,Insecta,Hymenoptera,Diapriidae,Acanopsilus,Acanopsilus nixoni,SPECIES,10752990
Acanosema nervosum,Acanosema nervosum,4503227,NA,4503227,99,EXACT,ACCEPTED,Acanosema nervosum,"Acanosema nervosum (Thomson, 1859)",Animalia,Arthropoda,Insecta,Hymenoptera,Diapriidae,Acanosema,Acanosema nervosum,SPECIES,4503227
Acanthicolepis asperrima,Acanthicolepis asperrima,2314064,NA,2314064,99,EXACT,ACCEPTED,Acanthicolepis asperrima,"Acanthicolepis asperrima (M.Sars, 1861)",Animalia,Annelida,Polychaeta,Phyllodocida,Polynoidae,Acanthicolepis,Acanthicolepis asperrima,SPECIES,2314064
Acanthinula aculeata,Acanthinula aculeata,4567429,NA,4567429,99,EXACT,ACCEPTED,Acanthinula aculeata,"Acanthinula aculeata (O.F.Müller, 1774)",Animalia,Mollusca,Gastropoda,Stylommatophora,Valloniidae,Acanthinula,Acanthinula aculeata,SPECIES,4567429
Acanthiophilus helianthi,Acanthiophilus helianthi,1629286,NA,1629286,99,EXACT,ACCEPTED,Acanthiophilus helianthi,"Acanthiophilus helianthi (Rossi, 1794)",Animalia,Arthropoda,Insecta,Diptera,Tephritidae,Acanthiophilus,Acanthiophilus helianthi,SPECIES,1629286
Acanthis flammea,Acanthis flammea,5231630,NA,5231630,99,EXACT,ACCEPTED,Acanthis flammea,"Acanthis flammea (Linnaeus, 1758)",Animalia,Chordata,Aves,Passeriformes,Fringillidae,Acanthis,Acanthis flammea,SPECIES,5231630
Acanthis hornemanni,Acanthis hornemanni,5231646,NA,5231646,99,EXACT,ACCEPTED,Acanthis hornemanni,"Acanthis hornemanni (Holböll, 1843)",Animalia,Chordata,Aves,Passeriformes,Fringillidae,Acanthis,Acanthis hornemanni,SPECIES,5231646
Acanthobasidium delicatum,Acanthobasidium delicatum,8227732,NA,8227732,97,EXACT,ACCEPTED,Acanthobasidium delicatum,Acanthobasidium delicatum (Wakef.) Oberw. ex Jülich,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Acanthobasidium,Acanthobasidium delicatum,SPECIES,8227732
Acanthobasidium norvegicum,Acanthobasidium norvegicum,2553007,NA,2553007,99,EXACT,ACCEPTED,Acanthobasidium norvegicum,"Acanthobasidium norvegicum (J.Erikss. & Ryvarden) Boidin, Lanq., Cand., Gilles & Hugueney",Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Acanthobasidium,Acanthobasidium norvegicum,SPECIES,2553007
Acanthocardia echinata,Acanthocardia echinata,2286523,NA,2286523,99,EXACT,ACCEPTED,Acanthocardia echinata,"Acanthocardia echinata (Linnaeus, 1758)",Animalia,Mollusca,Bivalvia,Cardiida,Cardiidae,Acanthocardia,Acanthocardia echinata,SPECIES,2286523
Acanthocephalus anguillae,Acanthocephalus anguillae,2500461,NA,2500461,99,EXACT,ACCEPTED,Acanthocephalus anguillae,"Acanthocephalus anguillae (Müller, 1780)",Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Echinorhynchidae,Acanthocephalus,Acanthocephalus anguillae,SPECIES,2500461
Acanthocephalus clavula,Acanthocephalus clavula,2500479,NA,2500479,99,EXACT,ACCEPTED,Acanthocephalus clavula,"Acanthocephalus clavula (Dujardin, 1845)",Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Echinorhynchidae,Acanthocephalus,Acanthocephalus clavula,SPECIES,2500479
Acanthocephalus lucii,Acanthocephalus lucii,9801951,NA,9801951,98,EXACT,ACCEPTED,Acanthocephalus lucii,"Acanthocephalus lucii (Müller, 1776)",Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Echinorhynchidae,Acanthocephalus,Acanthocephalus lucii,SPECIES,9801951
Acanthoceras zachariasii,Acanthoceras zachariasii,5421885,NA,5421885,99,EXACT,ACCEPTED,Acanthoceras zachariasii,"Acanthoceras zachariasii (Brun) Simonsen, 1979",Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotales,Acanthocerataceae,Acanthoceras,Acanthoceras zachariasii,SPECIES,5421885
Acanthochondria cornuta,Acanthochondria cornuta,5165876,NA,5165876,99,EXACT,ACCEPTED,Acanthochondria cornuta,"Acanthochondria cornuta (Müller O.F., 1776)",Animalia,Arthropoda,Copepoda,Cyclopoida,Chondracanthidae,Acanthochondria,Acanthochondria cornuta,SPECIES,5165876
Acanthochondria limandae,Acanthochondria limandae,5165859,NA,5165859,99,EXACT,ACCEPTED,Acanthochondria limandae,"Acanthochondria limandae (Krøyer, 1863)",Animalia,Arthropoda,Copepoda,Cyclopoida,Chondracanthidae,Acanthochondria,Acanthochondria limandae,SPECIES,5165859
Acanthochondria soleae,Acanthochondria soleae,5165869,NA,5165869,99,EXACT,ACCEPTED,Acanthochondria soleae,"Acanthochondria soleae (Krøyer, 1838)",Animalia,Arthropoda,Copepoda,Cyclopoida,Chondracanthidae,Acanthochondria,Acanthochondria soleae,SPECIES,5165869
Acanthocinus aedilis,Acanthocinus aedilis,10595482,NA,10595482,97,EXACT,ACCEPTED,Acanthocinus aedilis,"Acanthocinus aedilis (Linnaeus, 1758)",Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Acanthocinus,Acanthocinus aedilis,SPECIES,10595482
Acanthocinus griseus,Acanthocinus griseus,4459446,NA,4459446,97,EXACT,ACCEPTED,Acanthocinus griseus,"Acanthocinus griseus (Fabricius, 1793)",Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Acanthocinus,Acanthocinus griseus,SPECIES,4459446
Acanthocinus reticulatus,Acanthocinus reticulatus,1102084,NA,1102084,99,EXACT,ACCEPTED,Acanthocinus reticulatus,"Acanthocinus reticulatus (Razoumowsky, 1789)",Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Acanthocinus,Acanthocinus reticulatus,SPECIES,1102084
