Taxa,currentCanonicalFull,usageKey,acceptedUsageKey,speciesKey,confidence,matchType,status,canonicalName,scientificName,kingdom,phylum,class,order,family,genus,species,rank,gbif_speciesKey
Sarcophaga emdeni,Sarcophaga emdeni,4518718,NA,4518718,99,EXACT,ACCEPTED,Sarcophaga emdeni,"Sarcophaga emdeni (Rohdendorf, 1969)",Animalia,Arthropoda,Insecta,Diptera,Sarcophagidae,Sarcophaga,Sarcophaga emdeni,SPECIES,4518718
Sarcophaga haemorrhoa,Sarcophaga haemorrhoa,4518834,NA,4518834,99,EXACT,ACCEPTED,Sarcophaga haemorrhoa,"Sarcophaga haemorrhoa Meigen, 1826",Animalia,Arthropoda,Insecta,Diptera,Sarcophagidae,Sarcophaga,Sarcophaga haemorrhoa,SPECIES,4518834
Sarcophaga incisilobata,Sarcophaga incisilobata,4518769,NA,4518769,99,EXACT,ACCEPTED,Sarcophaga incisilobata,"Sarcophaga incisilobata Pandellé, 1896",Animalia,Arthropoda,Insecta,Diptera,Sarcophagidae,Sarcophaga,Sarcophaga incisilobata,SPECIES,4518769
Sarcophaga jacobsoni,Sarcophaga jacobsoni,4518711,NA,4518711,99,EXACT,ACCEPTED,Sarcophaga jacobsoni,"Sarcophaga jacobsoni (Rohdendorf, 1937)",Animalia,Arthropoda,Insecta,Diptera,Sarcophagidae,Sarcophaga,Sarcophaga jacobsoni,SPECIES,4518711
Sarcophaga lehmanni,Sarcophaga lehmanni,4518763,NA,4518763,99,EXACT,ACCEPTED,Sarcophaga lehmanni,"Sarcophaga lehmanni Müller, 1922",Animalia,Arthropoda,Insecta,Diptera,Sarcophagidae,Sarcophaga,Sarcophaga lehmanni,SPECIES,4518763
Sarcophaga melanura,Sarcophaga melanura,4518685,NA,4518685,99,EXACT,ACCEPTED,Sarcophaga melanura,"Sarcophaga melanura Meigen, 1826",Animalia,Arthropoda,Insecta,Diptera,Sarcophagidae,Sarcophaga,Sarcophaga melanura,SPECIES,4518685
Sarcophaga nigriventris,Sarcophaga nigriventris,4518728,NA,4518728,99,EXACT,ACCEPTED,Sarcophaga nigriventris,"Sarcophaga nigriventris Meigen, 1826",Animalia,Arthropoda,Insecta,Diptera,Sarcophagidae,Sarcophaga,Sarcophaga nigriventris,SPECIES,4518728
Sarcophaga portschinskyi,Sarcophaga portschinskyi,4518707,NA,4518707,99,EXACT,ACCEPTED,Sarcophaga portschinskyi,"Sarcophaga portschinskyi (Rohdendorf, 1937)",Animalia,Arthropoda,Insecta,Diptera,Sarcophagidae,Sarcophaga,Sarcophaga portschinskyi,SPECIES,4518707
Sarcophaga pumila,Sarcophaga pumila,4518797,NA,4518797,99,EXACT,ACCEPTED,Sarcophaga pumila,"Sarcophaga pumila Meigen, 1826",Animalia,Arthropoda,Insecta,Diptera,Sarcophagidae,Sarcophaga,Sarcophaga pumila,SPECIES,4518797
Sarcophaga rosellei,Sarcophaga rosellei,4518700,NA,4518700,99,EXACT,ACCEPTED,Sarcophaga rosellei,"Sarcophaga rosellei Böttcher, 1912",Animalia,Arthropoda,Insecta,Diptera,Sarcophagidae,Sarcophaga,Sarcophaga rosellei,SPECIES,4518700
Sarcophaga sexpunctata,Sarcophaga sexpunctata,4518783,NA,4518783,99,EXACT,ACCEPTED,Sarcophaga sexpunctata,"Sarcophaga sexpunctata (Fabricius, 1805)",Animalia,Arthropoda,Insecta,Diptera,Sarcophagidae,Sarcophaga,Sarcophaga sexpunctata,SPECIES,4518783
Sarcophaga sinuata,Sarcophaga sinuata,4518679,NA,4518679,99,EXACT,ACCEPTED,Sarcophaga sinuata,"Sarcophaga sinuata Meigen, 1826",Animalia,Arthropoda,Insecta,Diptera,Sarcophagidae,Sarcophaga,Sarcophaga sinuata,SPECIES,4518679
Sarcophaga subulata,Sarcophaga subulata,4518768,NA,4518768,99,EXACT,ACCEPTED,Sarcophaga subulata,"Sarcophaga subulata Pandellé, 1896",Animalia,Arthropoda,Insecta,Diptera,Sarcophagidae,Sarcophaga,Sarcophaga subulata,SPECIES,4518768
Sarcophaga subvicina,Sarcophaga subvicina,4518758,NA,4518758,97,EXACT,ACCEPTED,Sarcophaga subvicina,Sarcophaga subvicina Baranov,Animalia,Arthropoda,Insecta,Diptera,Sarcophagidae,Sarcophaga,Sarcophaga subvicina,SPECIES,4518758
Sarcophaga uliginosa,Sarcophaga uliginosa,4518683,NA,4518683,99,EXACT,ACCEPTED,Sarcophaga uliginosa,"Sarcophaga uliginosa Kramer, 1908",Animalia,Arthropoda,Insecta,Diptera,Sarcophagidae,Sarcophaga,Sarcophaga uliginosa,SPECIES,4518683
Sarcophaga vagans,Sarcophaga vagans,4518870,NA,4518870,97,EXACT,ACCEPTED,Sarcophaga vagans,"Sarcophaga vagans Meigen, 1826",Animalia,Arthropoda,Insecta,Diptera,Sarcophagidae,Sarcophaga,Sarcophaga vagans,SPECIES,4518870
Sarcophaga variegata,Sarcophaga variegata,4518734,NA,4518734,99,EXACT,ACCEPTED,Sarcophaga variegata,"Sarcophaga variegata (Scopoli, 1763)",Animalia,Arthropoda,Insecta,Diptera,Sarcophagidae,Sarcophaga,Sarcophaga variegata,SPECIES,4518734
Sarcophaga villeneuvei,Sarcophaga villeneuvei,4518722,NA,4518722,99,EXACT,ACCEPTED,Sarcophaga villeneuvei,"Sarcophaga villeneuvei Böttcher, 1912",Animalia,Arthropoda,Insecta,Diptera,Sarcophagidae,Sarcophaga,Sarcophaga villeneuvei,SPECIES,4518722
Sarcophila latifrons,Sarcophila latifrons,1482476,NA,1482476,99,EXACT,ACCEPTED,Sarcophila latifrons,"Sarcophila latifrons (Fallén, 1817)",Animalia,Arthropoda,Insecta,Diptera,Sarcophagidae,Sarcophila,Sarcophila latifrons,SPECIES,1482476
