potential_component,ComponentMaxAreaHa,candidate_cells,existing_patches
1,2912.0700000000024,732,87
2,2.180000000000002,1,0
3,1209.1100000000008,288,46
4,4.240000000000004,2,0
5,2.140000000000002,1,0
6,1714.0000000000014,426,12
7,5.850000000000005,2,0
8,57.990000000000045,15,1
9,2.2700000000000022,1,0
10,2.280000000000002,1,0
11,3.0800000000000023,1,2
12,731.4600000000005,184,17
13,76.55000000000004,15,3
14,25.250000000000007,3,6
15,461.4600000000003,107,25
16,14.200000000000012,5,1
17,7.160000000000006,2,0
18,98.86000000000004,17,4
19,6.010000000000005,2,0
20,1251.4300000000007,248,86
21,3.6400000000000032,1,0
22,9.140000000000008,3,0
23,6.190000000000004,2,1
24,3.070000000000003,1,0
25,34.120000000000005,2,3
26,9.000000000000009,4,0
27,1977.7500000000014,474,105
28,2.710000000000002,1,0
29,2.440000000000002,1,0
30,15.080000000000004,2,2
31,60.82000000000003,12,7
32,27.660000000000025,9,0
33,2.240000000000002,1,2
34,2.4700000000000024,1,0
35,4.630000000000003,1,6
36,14.220000000000002,1,6
37,14.730000000000006,3,2
38,4.4600000000000035,2,3
39,25.44000000000002,9,1
40,2373.960000000002,611,201
41,32.46000000000002,10,12
42,3.770000000000003,1,0
43,39.630000000000024,10,4
44,2.960000000000002,1,0
45,5.940000000000004,2,1
46,7.060000000000006,3,0
47,13.520000000000012,4,0
48,2.370000000000002,1,0
49,2.570000000000002,1,0
50,12.660000000000004,2,6
51,2.3100000000000023,1,0
52,15.580000000000005,2,1
53,18.130000000000017,6,0
54,3.3700000000000028,1,0
55,2.2500000000000018,1,0
56,2.060000000000002,1,0
57,23.80000000000002,8,0
58,31.900000000000023,9,4
59,2.370000000000002,1,0
60,7.7800000000000065,3,0
61,79.60000000000005,19,20
62,88.57000000000006,25,21
63,6.440000000000005,2,6
64,12.890000000000004,2,5
65,7.540000000000002,1,1
66,9.400000000000002,1,1
67,5.350000000000005,2,0
68,6.290000000000002,1,2
69,2.8100000000000023,1,0
70,41.070000000000036,13,1
71,11.200000000000001,1,1
72,306.5300000000002,70,22
73,8.120000000000005,2,1
74,46.69000000000003,14,19
75,168.1200000000001,34,31
76,11.080000000000004,2,1
77,21.730000000000004,2,2
78,27.730000000000008,3,1
79,10.430000000000003,1,3
80,28.61000000000001,4,2
81,29.66000000000002,8,5
82,322.7700000000002,72,50
83,14.50000000000001,4,3
84,12.150000000000004,2,5
85,3.0200000000000027,1,0
86,107.72000000000007,27,21
87,3.8700000000000023,1,1
88,24.500000000000004,2,4
89,3.130000000000002,1,1
90,2.1300000000000017,1,0
91,13.340000000000003,2,1
92,10.62000000000001,4,0
93,29.260000000000023,9,3
94,213.77000000000012,46,13
95,2.1700000000000017,1,0
96,4.700000000000001,1,13
97,35.89000000000002,9,6
98,3.070000000000003,1,0
99,2.8500000000000023,1,0
100,2.0000000000000018,1,0
101,4.120000000000002,1,1
102,108.73000000000009,31,15
103,41.600000000000016,7,11
104,11.040000000000008,4,2
105,7.730000000000005,2,3
106,216.7100000000001,41,35
107,9.270000000000007,3,1
108,5.140000000000004,2,0
109,2.070000000000002,1,0
110,5.080000000000002,1,1
111,4.740000000000004,2,0
112,29.130000000000003,2,6
113,594.8400000000004,136,36
114,3.480000000000003,1,0
115,10.270000000000001,1,1
116,2.330000000000002,1,0
117,4.290000000000002,1,1
118,2.950000000000003,1,0
119,7.480000000000002,1,1
120,69.24000000000002,11,2
121,37.020000000000024,9,6
122,40.200000000000024,8,8
123,439.1700000000002,75,43
124,7.190000000000004,2,1
125,46.27,1,2
126,17.01000000000001,4,5
127,42.910000000000025,12,10
128,1440.9700000000007,290,154
129,46.92000000000002,9,12
130,2.500000000000002,1,0
131,44.150000000000006,1,3
132,41.48000000000002,7,22
133,6.790000000000004,2,2
134,5.660000000000005,2,3
135,5.450000000000004,2,2
136,2.220000000000002,1,0
137,148.50000000000009,34,10
138,2.190000000000002,1,0
139,9.290000000000008,3,0
140,10.89000000000001,4,3
141,1522.1500000000012,404,94
142,2.320000000000002,1,0
143,6.5300000000000065,2,0
144,9.700000000000008,3,0
145,3.4100000000000024,1,1
146,80.04,2,4
147,3.1000000000000028,1,0
148,584.8400000000004,132,38
149,11.46000000000001,4,0
150,14.130000000000013,4,0
151,2.2700000000000022,1,0
152,1438.5700000000004,186,31
153,2.260000000000002,1,0
154,3.140000000000003,1,0
155,3.6100000000000025,1,2
156,19.810000000000002,1,1
157,293.91000000000025,80,17
158,2.8500000000000023,1,0
159,8.940000000000008,3,0
160,2.7000000000000024,1,0
161,23.470000000000013,5,1
162,13.200000000000003,2,2
163,13.13000000000001,4,1
